Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
3273,355,847,7652,4311,3102,5155,8770,7113,4530,54.53,45.33
2124,3362,7643,9434,5529,2562,9826,2941,7988,4880,57.699999999999996,42.059999999999995
7245,3449,109,668,174,746,5187,9039,3870,4824,49.47,50.19
4883,5030,6242,5089,862,2796,4249,3998,1037,5764,52.6,46.6
5980,9579,7875,2662,1844,3080,2367,9938,543,6335,44.3,55.400000000000006
6585,2730,5318,8844,3090,3704,5547,1334,8425,6321,58.45,41.36
4326,8910,6858,2890,1722,2354,6128,944,428,7088,47.589999999999996,52.2
2207,7688,7973,8464,7013,9009,7830,3432,5519,6498,38.61,61.040000000000006
6317,8178,9251,8079,3882,8640,1862,9157,6722,9499,72.50999999999999,27.389999999999997
3418,1303,1752,8323,5375,1038,7424,2303,2250,6463,57.699999999999996,42.0
6127,4540,7087,4864,3871,7606,1540,4690,2955,3479,58.699999999999996,40.660000000000004
2530,7340,8517,4012,8825,7254,6645,2780,2949,4826,39.31,60.31999999999999
4271,7994,9074,6905,6160,380,1360,7630,2021,8656,56.66,43.059999999999995
6932,2910,5318,3766,3589,481,2632,7852,8874,9689,55.559999999999995,44.230000000000004
6259,6651,9335,9327,3824,540,1850,978,5273,7059,51.78,47.54
4846,6721,3128,4758,2132,1188,7965,7824,2069,2099,59.330000000000005,40.39
6685,9790,7875,7570,646,9169,7121,5791,8749,1936,50.13999999999999,49.63
8118,5467,7283,7494,4817,7799,1658,7027,1731,5681,64.37,35.4
7575,2580,6879,5482,1763,6183,501,3399,2955,9033,55.84,44.05
3305,7574,6322,8421,9858,2968,2930,3802,6821,1711,33.89,64.94
4822,8053,9289,3124,236,8969,3454,562,2516,7014,49.64,50.17
6325,9768,6065,279,1722,2533,6257,6951,3120,9767,56.31,43.54
5703,1992,505,2425,5296,9230,6769,2842,3382,3996,49.94,49.87
522,1092,335,8177,3087,9167,4655,2147,5296,93,54.800000000000004,45.0
904,150,6078,643,7178,9480,5816,8876,2260,8359,70.89,28.96
1618,9066,917,2066,9961,9296,987,14,7070,4682,61.019999999999996,38.31
8126,3221,7534,7580,6033,4301,2847,1919,4583,4565,55.31,43.81
9125,3139,9760,4233,5409,3348,4071,1895,1257,2076,63.61,36.01
6932,227,4648,5270,7019,6039,5780,809,7882,2663,53.44,46.29
8705,6464,7273,7501,4817,2114,4886,6053,5351,8166,58.98,40.68
6191,4104,7369,8970,579,225,3534,7681,9688,5453,44.03,55.379999999999995
5569,6982,2797,6995,7517,313,2589,1503,7135,9501,60.9,38.879999999999995
2530,8867,5629,2202,7463,6920,1931,6267,7574,3257,35.370000000000005,64.31
6876,6072,6422,4916,9184,1860,4126,4436,4272,1645,57.010000000000005,41.85
3957,757,7747,2510,6619,4467,1551,7492,7480,9973,52.0,47.44
8014,3968,7578,3697,862,3817,2619,2051,755,726,55.33,44.45
6620,2926,5318,851,1907,5862,7841,9154,5415,231,32.690000000000005,66.86
6165,9558,7875,8848,646,7222,3482,703,5926,5939,61.95,37.730000000000004
1571,8485,9022,1103,8110,573,3061,1725,6980,4240,53.37,46.239999999999995
3077,1249,9913,531,6619,2545,268,1798,3029,1881,74.33,25.47
8629,4344,554,6504,6831,4686,2818,703,5445,1133,49.21,50.55
4425,8726,116,5343,4468,3876,4489,6054,4583,2684,46.239999999999995,53.42
8469,9043,2867,494,9574,1358,1845,7398,2974,4944,42.85,56.830000000000005
4326,8739,4680,4955,40,9244,1741,5962,6236,8668,62.94,36.88
2341,5068,5946,4696,1362,516,5547,9604,4815,6943,41.67,58.17
6883,918,7535,818,3016,3656,4071,4384,1037,4817,62.88,36.94
6932,611,7535,6073,2314,6424,1379,4611,2955,6286,52.7,46.93
7245,7048,8022,8619,3882,8644,6963,9601,5926,7558,79.14999999999999,20.72
8533,4088,9186,5125,862,627,3534,566,2176,1507,58.099999999999994,41.74
5170,9241,2681,6070,5182,4519,7284,3369,2161,7102,44.41,55.31
3339,5421,7574,9954,2584,9441,1280,5673,8716,8021,59.589999999999996,40.18
4883,9864,1430,9072,5998,4201,8259,9631,3253,7575,60.67,39.06
7194,5049,5942,6846,8084,8876,5788,2345,3920,4213,35.27,64.22
8547,4548,554,160,5545,6044,4227,9493,6587,9694,67.99,31.65
3415,1224,8078,1117,7178,7918,5529,6030,2260,2295,56.71000000000001,43.07
8507,4723,2438,8341,5475,5067,1819,4502,1193,1592,52.11,47.56
3466,247,847,9681,4501,4600,5155,4362,8466,9640,62.93,35.92
1093,1302,2992,8540,5272,2838,5155,1581,2250,6064,34.29,64.89
6317,9283,6666,9788,5330,9507,6173,3120,2347,621,66.64,33.22
6562,6449,9585,1754,8260,8750,2247,7394,4405,3004,40.98,58.650000000000006
3415,5766,7574,383,3297,7090,642,4654,5854,1297,69.06,30.320000000000004
1480,5587,7329,4022,7932,3724,8652,250,2446,2602,56.31,43.49
7864,3192,7534,5819,5375,977,3372,1877,6367,8351,47.410000000000004,52.28
5980,5068,8238,3180,4367,8299,2039,7870,5926,5454,62.49,37.13
6961,1863,4983,6547,3906,4199,5735,5389,1346,9069,55.05,44.42
8147,6850,5868,2829,9065,279,4110,6635,2574,1159,53.910000000000004,45.59
7091,6896,8022,1874,4083,3927,618,906,1436,1659,60.18,39.58
3311,7191,4533,5288,6968,9408,8519,8110,9647,7202,62.86000000000001,37.0
8730,518,3456,8153,7035,2219,7073,6039,2709,3336,68.67999999999999,31.14
4335,5791,6482,52,9284,9224,1786,3320,9460,4773,44.91,54.910000000000004
4163,7375,6755,3277,6031,7271,2247,7592,5308,3464,64.12,35.709999999999994
6368,3175,5625,1258,316,2278,7841,9468,661,7235,54.50000000000001,44.96
1480,4271,1212,8516,5582,2814,1022,2675,8124,8995,50.49,49.11
2619,2642,8630,8676,5529,5127,1362,9357,7855,2394,52.44,47.19
7610,9261,4272,2173,1454,5526,7719,3508,4739,8834,47.25,52.59
2530,1916,2081,9545,5489,7130,4655,1461,2406,886,50.24999999999999,49.18
8814,7390,4715,7924,8074,6203,2820,9034,6722,2764,47.86,51.89
3036,4345,4208,2932,6457,1286,3463,4556,2068,8542,53.1,46.63
5721,2146,505,1784,174,4683,3959,9992,8018,2232,51.66,48.16
5386,7570,6137,294,9284,5812,6994,74,9460,7111,45.67,54.14
5240,5626,3126,3838,8010,3437,4969,9061,6587,7175,61.129999999999995,38.3
9542,926,462,6253,1323,2261,5187,9375,7430,4592,55.16,44.68
2207,7294,7973,4946,1023,4927,6173,6024,8716,8557,54.94,44.78
6583,4643,6018,1214,3683,6320,1046,2385,9178,3079,46.650000000000006,53.080000000000005
2684,6388,8415,5062,8825,5040,5327,911,3527,6250,52.83,46.96
4883,7190,9981,3119,5156,5909,7140,6471,117,5656,60.68,39.129999999999995
8548,3000,1679,99,6069,2316,1397,7564,7775,2502,66.7,33.019999999999996
2161,3240,7643,2575,8867,5505,1551,6380,8674,2928,39.86,59.96
4153,9322,3102,7826,8131,9389,3541,9356,7242,8864,66.41,33.410000000000004
4275,3258,5413,3476,8021,6062,1551,5938,1277,2735,46.650000000000006,53.11
3273,5212,1691,3543,4415,6170,7394,6456,8115,893,52.669999999999995,46.88
2975,1547,6819,7888,4878,3455,9808,4856,368,4989,46.27,53.269999999999996
1372,5750,2473,9988,8260,7165,8110,6497,4421,7242,65.36999999999999,34.43
4181,7205,7860,938,7283,1174,4061,2674,6980,6383,43.480000000000004,56.35
3602,8063,7334,1528,5479,4313,448,581,5545,8784,52.43,47.39
926,3563,3023,3363,6051,8356,8167,2442,9689,9201,48.65,51.21
7238,7502,8022,947,8260,6780,4922,268,1874,8755,54.790000000000006,44.72
4161,7150,5539,1705,1290,683,6892,5832,3456,9524,45.78,53.98
4097,6266,7860,6422,5445,7591,7007,2926,6997,50,45.45,54.22
3568,7874,5527,1803,1268,2289,6257,3308,428,5967,57.76,42.13
6531,9730,7875,5711,2438,3840,6668,5560,8150,6664,57.13,42.370000000000005
8712,660,4167,4820,7502,882,7756,9263,3153,5465,39.900000000000006,59.89
6774,1696,4983,8063,7019,4632,634,3956,759,5520,52.33,47.47
8940,7833,7887,1353,2360,9888,3169,2603,9460,6565,41.07,58.75
3236,7099,4533,350,7237,4461,5165,1378,6234,6255,52.81,47.05
5569,5683,5136,346,7719,9024,8944,579,1831,6105,54.84,44.66
8736,4908,6213,2116,5992,7486,7082,9926,2874,4847,52.349999999999994,47.21
4822,4004,8329,4846,3715,259,7418,8637,3920,5165,30.080000000000002,69.54
8797,3330,9760,9594,6033,5881,5788,7248,3849,4035,56.31,43.39
2530,4251,5470,8748,6743,6178,1627,5190,2901,4709,36.32,63.51
8025,9138,4767,5421,1072,7328,9629,7783,3713,9056,62.53999999999999,37.29
917,3351,3023,8366,3786,4621,5155,8063,875,8454,46.400000000000006,53.410000000000004
8548,79,3456,2783,1526,805,4625,3894,4740,7603,60.73,38.97
6127,4523,7087,960,2363,6357,6320,5904,1037,6004,59.260000000000005,40.52
4588,4801,4578,9466,1808,5732,8874,113,239,2981,43.02,56.769999999999996
1056,433,6078,8760,919,5963,8953,2783,5589,5832,42.059999999999995,57.69
8225,1347,2755,8952,8933,4943,9138,6314,2147,1630,36.19,63.36000000000001
1797,1260,3471,9634,5272,9251,4655,4915,2406,9108,50.0,49.85
8797,8516,2268,7348,9176,6747,2820,4113,4556,8078,56.44,43.41
5211,3322,8428,5818,4451,9818,5978,8546,5885,9195,53.2,46.6
2455,7425,8517,329,8110,7439,793,5287,7574,7440,51.6,48.199999999999996
8914,559,3456,4281,1526,2407,5187,2233,7760,8565,51.0,48.66
8659,4554,9186,343,3727,5418,9217,4952,661,9170,55.879999999999995,43.54
1993,6731,6625,7001,3695,3911,4551,6767,7616,7777,48.1,51.68000000000001
7194,2492,6879,6052,1858,7207,1379,5430,6585,3635,37.89,61.96
2524,6238,6781,2333,1519,5234,3007,8896,8627,36,54.84,44.96
5179,1448,9450,1508,1472,1264,2631,4383,6534,5933,61.839999999999996,37.72
8854,1904,4116,9935,8156,839,7894,9260,3913,7228,44.39,55.43
3131,2768,7139,6869,7917,2620,535,2880,3010,6022,42.13,57.58
8671,2216,3839,7514,8173,5146,4146,2382,7882,3755,30.930000000000003,68.81
6980,3200,6945,2298,3071,7159,3761,4273,1037,3321,59.53000000000001,40.11
3237,5756,7568,5365,9383,3380,5327,286,6980,5988,66.36,33.4
6263,9494,3994,9274,2536,2474,8648,3808,6137,1345,55.37,44.51
3548,2502,6484,8561,6471,3130,7756,8626,2070,3822,51.4,48.449999999999996
8659,7961,5219,7792,1592,419,3758,5764,5336,7127,49.66,49.769999999999996
3418,1100,1752,7807,5375,5354,6659,227,3027,8850,57.82000000000001,41.82
4469,8692,2087,6539,7374,215,5271,396,7135,9894,60.86,38.800000000000004
7610,7278,181,5988,8618,1940,3032,5926,4583,4616,46.45,53.11
1766,9065,917,7790,4152,1091,5945,4877,8369,9060,64.23,35.620000000000005
6127,6630,6455,1443,8354,2241,4653,5539,4658,5999,42.79,56.82000000000001
2877,5601,1368,5466,7021,9295,5528,7013,3920,3502,54.910000000000004,44.51
9125,9872,4024,5864,8589,6318,1324,8773,4947,6562,57.230000000000004,42.6
8425,1079,3456,9221,3290,6339,6371,9775,7430,1563,52.580000000000005,46.650000000000006
419,4018,9726,6348,6023,2108,2067,3580,9688,4989,52.980000000000004,46.83
3568,9398,4694,1359,8245,1769,6177,60,1078,9764,64.64,35.21
584,490,6576,4897,2140,3736,4944,6916,6747,3012,57.47,42.24
3602,7738,6322,5888,4645,3061,3865,9347,7574,6496,55.24,44.13
3365,1235,8078,2278,1779,1579,2631,5400,6534,3190,63.980000000000004,35.449999999999996
8743,1784,4116,8376,7035,5130,7616,9824,7764,6400,44.79,54.64
5953,226,5136,8392,7019,8041,1979,6538,2518,7205,58.209999999999994,41.56
2320,5114,5946,547,1044,3203,4260,1164,2228,1516,60.91,38.7
2341,6538,4928,4285,9491,217,2001,9670,7890,5706,38.95,60.84
4634,1814,8231,7989,2693,3837,6620,3721,2324,8565,53.83,46.0
8424,7259,7887,2578,2360,752,1006,9442,2533,2955,54.05,45.62
2161,5159,4993,3188,1452,3072,642,2864,7616,5059,63.85999999999999,35.949999999999996
7238,5279,4224,3554,994,5779,3881,381,7036,5198,58.650000000000006,41.17
5643,5536,3850,7421,8046,8078,7478,7017,3920,3822,63.09,35.69
6290,2878,627,9632,1229,9128,1342,8640,9412,1431,46.01,53.449999999999996
2453,2856,8630,846,5097,688,1652,9086,3141,2641,54.300000000000004,45.410000000000004
5569,5205,2952,4858,4296,1953,5749,1496,9600,1192,57.63,41.91
3481,5181,7574,233,1451,1837,2069,7762,9224,3790,48.69,50.970000000000006
7551,7015,6625,1318,1844,7170,2267,2130,2151,7216,49.5,50.29
7938,6486,5868,5221,3589,1310,3321,3887,2309,2713,57.52,41.980000000000004
2320,1605,1267,9997,5582,2214,7424,7492,5296,3357,65.94,33.81
5866,2894,1096,5797,5425,5144,7436,9503,7879,3729,50.629999999999995,49.19
4846,1839,8231,4840,3448,5918,3349,8702,1314,2317,65.36,34.23
6585,2083,7864,3305,72,7429,4071,4851,755,8243,41.68,58.089999999999996
5157,3444,8428,6140,4451,4013,1170,1594,2287,1552,56.279999999999994,43.39
9420,7298,4561,4939,8071,3221,2956,8444,2574,1032,50.41,49.45
7435,9076,1408,4467,3803,2395,3669,9079,2747,902,61.89,37.9
8536,6823,5799,5368,1858,6186,1863,9528,4192,830,36.34,63.190000000000005
8705,8984,4767,2292,1454,5757,2317,4441,6977,7845,53.910000000000004,45.58
3621,7506,6322,4043,1141,3814,7173,2457,6446,110,53.82,45.95
7610,3306,109,1214,1061,56,5187,401,4739,1966,69.5,30.320000000000004
522,8088,6698,6788,5222,213,5862,1135,8351,290,58.699999999999996,41.0
3036,743,7602,4461,7881,6489,7078,2142,2231,7640,44.45,54.949999999999996
6961,9434,1760,514,3582,1554,7719,8749,8867,1053,66.83,32.72
8118,9013,4767,6784,1592,1827,968,787,551,3446,45.73,54.08
4601,2886,562,6330,1376,8734,6917,3861,5296,3352,48.82,50.99
6980,3976,6400,7902,2059,4597,5822,7150,8652,1434,52.38,47.42
7956,2586,6468,9986,3628,9748,6620,3720,5926,7203,48.97,50.839999999999996
8118,5791,7283,3048,3727,8731,570,5992,2516,3353,61.980000000000004,37.82
8073,2468,3839,6807,9790,7650,3781,4809,2964,5751,46.48,52.92
4161,8357,5887,7806,9248,5459,8804,8729,8122,7728,60.11,39.45
9203,230,1973,3924,2833,2678,5187,3878,7760,6449,55.1,44.65
9388,9474,5859,9807,5330,7587,3625,6805,5926,4137,54.279999999999994,45.550000000000004
2619,2204,5395,3470,6884,1352,2632,4692,2068,3575,70.96000000000001,28.82
9211,7810,4712,5381,8071,1682,4481,2465,4127,1804,51.870000000000005,47.75
4425,8411,5887,4300,4645,8694,3169,6538,8351,3927,55.589999999999996,44.269999999999996
7367,3495,109,6737,7619,8303,4050,9296,4365,7083,60.46,39.34
584,2857,3023,9191,4291,9300,4655,9214,7959,1457,64.68,35.05
4163,426,5039,9249,5489,9646,7964,3699,2347,6605,56.279999999999994,43.54
9083,8922,5109,5828,2263,9998,7352,4883,6236,9468,62.31,37.04
381,3100,7910,118,3795,4676,3756,907,2228,5041,50.07,49.76
1852,3850,9663,6023,5222,8825,3721,9773,1740,9510,48.010000000000005,51.77
242,8145,7056,7635,648,9245,4592,800,9150,188,55.84,43.84
8814,2114,4116,3769,3060,2952,2632,3352,4642,637,51.92,47.74
837,957,4834,2727,6286,8826,208,2085,9108,1609,53.21,46.43
3466,5971,7568,9633,2584,3572,3396,500,5822,9506,64.07000000000001,35.69
6980,8856,1760,5226,2567,827,8524,3129,175,2612,55.85,44.03
2455,7585,7973,8312,7013,5764,7138,1828,2372,6275,54.269999999999996,45.43
8548,1551,2931,6547,4473,5488,5735,4387,1346,3372,60.12,39.64
4180,9825,8038,6896,1121,5198,6173,2543,7418,5921,56.68,42.84
6883,7875,9251,3479,646,5292,8461,2817,4177,3221,48.29,51.27
713,6032,5125,4169,4767,6964,5165,521,6851,5116,28.4,71.17
5746,9241,4571,4872,1722,1504,6892,7173,8150,4512,58.98,40.46
6665,3995,1544,8532,7619,7376,1666,4304,2406,9572,58.589999999999996,41.199999999999996
6218,4846,8311,6125,7574,2667,4507,9068,2147,9709,50.54,49.18
