Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
3849,8791,7927,7976,8712,382,9313,6797,5972,4170,61.96,37.78
8743,5800,1420,2708,1771,8347,6588,9381,8305,4245,55.78999999999999,43.71
4674,7400,6726,4042,2942,9020,8940,7448,6659,4297,64.47,35.42
6204,4508,1776,3786,7032,9190,8944,85,1700,4437,49.46,50.13999999999999
5163,8730,5039,8947,6469,3845,9496,1275,1844,1489,57.989999999999995,41.69
1307,6214,9054,9260,5222,3369,9348,4136,1350,8035,32.14,67.28
3980,6728,1194,6505,5232,1202,7394,8414,2982,7653,53.63,46.160000000000004
3695,7184,5754,9270,9248,2364,929,8727,5394,5779,49.2,50.4
9742,3333,6426,4149,4438,6283,5647,7593,8423,7142,30.64,68.78
5519,1922,5127,5154,6636,4850,535,555,731,6843,28.849999999999998,70.78
8126,5959,2979,3866,6697,5685,2956,6272,4583,9208,70.28999999999999,29.57
2634,3354,6715,2765,1220,4499,3289,3238,6234,6785,57.699999999999996,42.03
6541,8662,5712,3141,1722,3493,7965,6216,7487,9669,46.33,52.900000000000006
4253,447,5039,3477,3689,3180,9363,4316,1649,6329,48.49,51.06
7865,825,5315,7288,3647,3916,1469,6239,9005,7709,52.16,47.599999999999994
8768,9601,4024,5956,1115,2870,2847,2047,6249,5720,46.44,53.080000000000005
6837,8298,9956,7822,8258,9394,4616,4578,4763,38,45.839999999999996,53.89000000000001
8224,7986,7025,6630,3154,1858,2847,7542,6249,4248,45.23,54.59
9891,8908,7072,5911,3154,1944,6308,4444,6249,4955,51.959999999999994,47.56
1519,1254,7538,2653,8588,534,5302,6486,440,6685,55.84,44.01
7865,6638,8374,3442,5475,5360,927,6376,5968,5529,46.5,53.1
3147,1146,8078,8678,5824,9009,5113,1601,4725,1838,55.45,43.9
4038,3278,5413,7321,8227,764,2575,7771,4741,4632,46.949999999999996,52.42
6925,4648,4635,1704,316,2189,451,9966,2210,3799,48.55,51.22
7060,4275,2340,5747,2112,4261,9735,8920,5415,5298,55.120000000000005,44.5
5362,613,2068,3045,7938,8255,591,7470,2858,3071,45.0,54.82
