Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
3345,1181,7445,9752,919,9777,1944,8208,8922,3220,45.96,53.89000000000001
2975,3783,1959,2635,3892,9300,8167,4122,6659,7112,53.26,46.33
2236,9563,2931,4959,6515,9547,6683,3734,7773,1965,53.459999999999994,46.26
9223,450,924,1861,3882,4178,5716,2908,8540,9948,49.51,50.160000000000004
4464,2288,2844,169,6920,1639,4578,6899,2674,8064,50.39,49.19
5062,4657,8534,1051,2221,2068,5776,5607,2454,754,62.89,36.88
5267,7015,1968,2925,2794,5935,7023,7182,1829,8709,49.230000000000004,50.370000000000005
5261,4250,1416,6606,8127,2674,17,9816,7467,2863,53.6,46.21
2044,7170,5278,9646,7063,785,5862,113,3913,4953,47.599999999999994,51.7
2236,8960,4163,5744,4911,2881,3751,1046,9078,9297,48.82,51.019999999999996
2778,927,3384,1179,1057,5402,6332,5233,7268,2098,59.57,40.27
4074,1979,358,9490,7051,332,6625,4010,3372,1754,52.43,47.33
4184,2926,7029,6624,1545,5643,6963,4444,3266,955,58.040000000000006,41.64
3451,2171,7368,9915,8227,9809,9169,1668,3527,9774,69.72,30.130000000000003
5054,2917,2128,995,5902,7971,7756,5329,2770,8060,56.98,42.89
5553,2955,2128,8369,2478,2896,5978,2617,4178,8287,49.53,50.18
4588,792,5828,8622,1545,3669,6516,6086,5822,8349,46.69,53.169999999999995
1766,5555,4847,5544,4490,3901,7179,8501,2919,4939,62.51,37.0
6351,1456,2354,4997,2838,1169,6625,1448,565,5351,61.46,37.830000000000005
4767,623,5478,3712,3422,9532,6332,9849,8674,5559,60.309999999999995,38.91
4782,1284,2423,9796,7051,5354,3518,8849,9650,9371,54.94,44.7
6811,813,4054,5714,7019,8429,8905,5603,2018,1196,54.900000000000006,44.91
6754,4619,2340,3384,1591,1704,6137,143,6842,6249,55.81,43.82
4275,5879,964,7140,7032,579,6782,6610,760,2539,39.81,59.79
8762,9589,1818,2199,872,7552,8477,6621,2026,9847,49.6,50.239999999999995
5727,7460,2758,5964,7032,776,4686,3588,3652,9332,55.81,44.03
7470,1408,163,9571,2183,52,9547,6755,3372,4731,47.22,52.339999999999996
8567,8899,6774,4962,2048,1091,9046,2341,6722,7724,45.07,54.53
