Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
4335,3879,8329,1353,6086,8308,3132,4178,166,864,66.09,33.800000000000004
8225,6445,5868,6637,2756,5542,3865,5718,2287,4922,65.7,34.050000000000004
6824,1143,2823,2604,7979,8854,3433,7742,1709,5682,44.93,54.910000000000004
6016,7324,8026,4634,2032,5917,4126,9447,7810,444,31.86,67.67999999999999
3529,5742,7574,3465,8825,6222,2930,700,3134,8162,43.169999999999995,56.49999999999999
831,4162,8029,43,7178,6349,1552,9320,3134,5098,63.28,36.46
2124,7204,5248,2403,8268,7841,7264,3001,3688,3356,56.37,43.419999999999995
2453,6921,3966,9075,6461,1717,8759,5929,5030,7265,53.400000000000006,46.25
3913,7526,4071,1792,7519,8396,8870,7513,8122,6229,62.29,37.21
8126,7035,8888,7643,4367,5919,1679,8993,3516,6891,67.39,32.440000000000005
8442,7988,5219,7857,1840,5312,5220,500,2274,7674,58.47,41.11
9152,7604,7025,1942,3222,5307,4071,2155,1831,7358,56.26,43.33
8986,3108,1679,1345,1716,3747,4180,786,2344,6184,41.959999999999994,57.74
8705,953,7165,448,3727,8858,2527,9620,5926,9553,62.25000000000001,37.35
6685,6885,8022,8665,6403,6262,1658,3844,4725,8212,59.64,39.839999999999996
3279,4116,7049,1731,6079,9173,4178,1928,7540,5662,50.4,49.480000000000004
5179,5866,124,6874,7817,5899,2720,9067,3849,7778,71.89999999999999,27.97
7938,5579,3129,3713,2438,3725,4071,3217,5926,3801,66.38,33.43
4634,1429,8231,1341,7178,6814,2247,7053,166,1461,52.92,46.78
2207,9754,3540,6218,5970,7980,7183,8657,4986,2844,45.440000000000005,54.43
6016,4339,5981,3305,3139,6648,3276,1363,5676,3837,55.010000000000005,44.6
4153,9676,1718,581,8131,9818,5528,3406,664,6305,57.99999999999999,41.72
3036,2460,7843,8173,2917,4633,6178,2718,5124,5590,46.660000000000004,52.88
3335,2870,8050,7570,2917,1274,6382,1760,2068,646,62.81,36.57
7947,4401,3432,2507,824,5939,4071,3471,6832,2267,63.55,35.56
5371,2008,2844,3579,6259,7184,7756,8324,6547,2670,38.16,61.58
7541,8521,3674,5230,6821,939,1646,7561,2581,5766,41.39,57.699999999999996
8617,7356,7273,7747,6962,9791,1862,9144,4365,3145,54.800000000000004,44.95
7417,8242,6625,8876,3882,1054,2732,2358,2069,5490,56.76,42.91
6016,3083,3358,2845,7032,9662,6975,2734,1845,9226,51.9,47.699999999999996
9366,6894,8068,8216,2032,5212,3865,406,2372,6542,52.769999999999996,47.04
6325,9932,6666,1987,1844,6061,3482,1350,8262,7492,60.19,39.519999999999996
8015,3467,2667,4421,6821,2228,1397,92,1874,6057,33.339999999999996,65.69
7163,4660,2845,7996,6821,1762,8511,8621,6264,6328,47.19,52.33
6317,9362,6666,1240,1844,3696,2367,1040,4739,8132,55.730000000000004,43.74
2619,6935,2434,4622,9128,9791,7264,9908,8122,4219,72.21,27.33
2975,4559,7199,5320,7064,4088,2619,7723,166,2236,48.8,50.78
7347,140,9127,8968,1858,2904,7424,9426,1687,5126,50.61,49.14
3279,4731,5418,2429,8125,6529,7078,1246,2068,9590,60.050000000000004,39.57
6016,8339,9251,210,2227,1963,2175,9679,4161,5447,56.47,42.95
7076,3615,2122,6111,6821,5022,2821,9203,3739,7042,69.46,29.81
8986,3731,5535,7959,2032,7703,1497,727,5676,7769,54.300000000000004,45.1
7865,7005,5868,4781,9065,7950,3104,5140,2974,8381,48.35,51.44
2680,2158,6448,7227,3567,8873,4758,9485,3516,1834,46.78,53.010000000000005
6016,8218,9251,2289,3727,164,4470,3543,2071,8048,57.43000000000001,42.21
8897,8225,3153,7437,2031,306,5282,4247,7616,6611,59.589999999999996,40.26
8014,5591,3129,4045,6259,7791,8283,8772,6239,7459,53.410000000000004,46.12
3036,4170,6641,9976,3475,6579,6330,5031,8266,4010,63.019999999999996,36.76
6562,8230,9251,5558,2438,1514,2367,3839,2071,1001,53.18000000000001,46.62
5980,3578,6954,1849,3071,514,2171,9106,931,4474,56.53,43.3
8225,4865,721,3951,6259,4157,4126,2519,4871,2226,73.22999999999999,26.3
3469,6482,1347,5773,7032,4178,2720,7349,1482,9207,56.68,43.169999999999995
4425,3216,8329,1526,6086,6164,3132,3384,1874,7810,52.15,47.69
6016,3257,4309,2067,7032,3370,4218,9017,2668,4317,46.43,53.18000000000001
1778,4743,2636,4256,6051,9014,5165,2779,3920,4649,69.28999999999999,30.380000000000003
1871,4299,4424,719,8623,6221,6975,9060,6980,1005,61.41,38.37
2538,7609,2434,1395,8131,8865,8870,8450,2772,7849,67.5,32.39
4782,4165,8238,6071,7176,1067,3059,3937,1378,2177,52.690000000000005,47.089999999999996
1778,6640,4420,4509,8268,9371,5165,4137,3567,8147,49.1,50.529999999999994
2632,8840,3540,4604,9128,701,6457,7532,8122,3380,51.54,48.209999999999994
1571,1575,6576,3626,6567,4382,3205,7566,7302,6780,41.68,57.74
2460,9484,1740,1001,2276,9109,8167,6520,8122,9032,59.550000000000004,40.25
831,6682,4420,5162,4799,3788,2619,6430,7872,8789,41.94,57.60999999999999
3036,8151,6858,1154,9284,4108,5454,2011,2028,6835,43.15,56.68
6685,3639,6945,1608,2363,9007,2570,6138,2878,5508,56.32,43.580000000000005
2880,3709,8026,5276,7881,1788,3132,8624,6264,9355,57.769999999999996,41.88
7163,8278,6859,4670,2719,4291,8189,1492,2974,2322,60.42999999999999,39.37
7091,6018,4224,102,1613,8661,570,2234,7882,9726,53.39,46.129999999999995
4097,1269,8717,8065,8292,9277,9048,3591,1844,8626,55.910000000000004,43.89
7979,7976,6625,3965,3727,6314,2619,8189,4192,8817,47.31,52.449999999999996
9152,3592,5535,1459,8185,4705,3655,6540,1378,7804,48.4,51.339999999999996
6961,1126,1970,7502,8473,4377,2720,3153,6355,7044,46.379999999999995,53.36
8442,2188,1278,4506,6831,5136,7394,8493,5272,358,48.010000000000005,51.83
7435,4074,2340,3325,7032,6231,2818,2483,2574,9460,45.769999999999996,54.0
4620,7605,1170,574,6853,9223,8870,8675,8122,8083,69.17999999999999,30.459999999999997
6585,6241,8238,2640,2032,9072,3257,1958,3965,6162,55.04,44.73
2320,1654,451,5266,5272,528,6727,225,3382,3645,70.52000000000001,28.7
3279,6819,7869,4972,9637,3570,2619,2509,5308,5586,55.589999999999996,43.94
7537,745,3669,2827,7979,4501,2632,856,7739,4681,56.89999999999999,42.84
5771,3614,7059,7457,8825,1365,2930,6183,2068,3861,46.27,53.169999999999995
2619,5477,7574,434,7519,836,3724,1068,6712,5605,56.2,43.46
2124,7465,4533,2849,6968,2532,6177,1034,1874,1622,60.41,39.300000000000004
6127,3638,6954,8812,4548,8860,7976,2940,657,1548,59.940000000000005,39.410000000000004
8442,5652,4224,2138,5069,9990,2818,8591,2574,1219,64.07000000000001,35.64
3466,429,2175,2998,4459,3957,5662,9959,3382,190,39.73,60.01
7767,3136,2667,7858,5976,1814,2720,5183,6355,4839,46.739999999999995,52.949999999999996
3279,510,5416,2246,2975,3565,2632,9553,8627,9297,53.55,46.22
2632,9854,3244,3797,4824,3500,7719,5606,8479,1294,63.57000000000001,36.17
4822,3451,5413,1794,7519,440,1652,8422,2351,3370,31.75,67.77
831,9590,4850,4761,7063,4411,6730,5019,5068,8824,59.260000000000005,40.45
3127,9157,2474,9454,8131,5937,6836,3390,5926,3540,54.33,45.51
831,8937,3262,4865,2794,9211,7478,1646,5638,8249,62.51,37.04
5280,4964,1073,3088,1214,5618,7418,2930,8812,4646,55.76,43.6
9152,1640,2131,5525,6831,329,2444,2177,1482,2617,56.089999999999996,43.56
1947,6956,5278,5614,5164,9483,7965,4848,6218,3883,54.15,45.59
1871,8257,2980,1948,8045,628,2467,9157,7582,5838,48.58,51.25999999999999
6685,6471,2116,3516,5425,4425,4038,5002,2574,5179,66.28,33.07
2530,3412,5269,2600,6851,1420,9145,6887,3456,415,65.75999999999999,33.95
7091,1728,2351,7727,8473,5512,4214,40,2901,1629,63.349999999999994,36.53
2913,6480,9965,2579,6260,5356,7114,6078,4232,4174,60.08,39.739999999999995
8929,3355,1679,5724,6831,4308,5991,8469,3739,4906,55.2,44.51
6231,1608,7864,5048,8292,5200,7078,7077,1378,9758,53.94,45.93
3957,3215,8329,9145,7841,1144,2930,3211,6154,2287,50.96000000000001,48.72
2453,3880,4773,502,2777,9239,7478,7698,6659,2279,47.13,52.629999999999995
7264,258,9127,1810,1526,9814,3132,2112,2878,5968,65.67,33.96
1845,4200,7368,6795,1220,7410,7749,6790,6824,1534,63.41,36.230000000000004
4986,2668,2844,7450,8589,622,3232,6973,7627,8411,46.93,52.2
8142,5712,3129,9442,8173,5015,2720,835,7371,2627,57.98,41.82
904,5242,4993,3334,128,5581,7631,9313,3920,3552,47.160000000000004,52.449999999999996
2842,7165,2664,122,8131,9903,5528,8736,2772,2117,51.89,47.99
3913,1881,8231,6367,253,4893,7979,9104,1687,2917,51.42,48.03
6359,2448,6062,3140,7176,207,4126,2796,2016,6660,53.05,46.63
3127,9277,2474,8907,8131,3366,4126,4854,1345,2921,48.02,51.64
1926,4878,2558,5528,5386,8833,7183,3827,8578,7356,48.809999999999995,51.01
8425,5524,7283,4479,1840,9187,1679,911,8382,6117,55.279999999999994,44.15
6226,8087,9251,1148,2227,4216,4470,3505,5822,4658,56.53,43.01
1372,7146,5125,9683,6461,8261,8883,6108,6137,9782,71.21,28.249999999999996
5133,6725,5339,7344,6968,280,2632,6719,2260,1913,55.16,44.14
8225,2179,2371,2668,1017,2613,6769,5791,3382,7749,48.22,50.9
7245,8986,9956,111,2227,8683,2175,3265,7810,252,62.77,36.95
2975,6096,1368,3332,1131,5468,7418,4397,8812,6585,52.09,47.699999999999996
2320,7295,5278,8330,1351,9320,7965,5588,2619,9168,61.21,38.690000000000005
3036,9506,2430,3007,4824,157,7461,4370,8479,9434,47.54,52.33
3273,2485,7843,6527,6567,6976,3330,352,3962,2949,45.25,54.49
