Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
895,4498,8285,9165,9787,5532,6332,270,2219,2481,51.629999999999995,47.58
7811,205,3380,7630,7312,7094,6843,2346,3372,4302,46.22,53.54
1056,816,8594,2190,5157,7745,9306,8537,5414,2650,51.4,48.36
5584,5752,6080,2829,6718,6428,927,7380,2691,1801,46.77,53.11
6193,96,471,20,1061,7581,9124,9887,1509,3536,52.54,46.949999999999996
2653,6030,6781,3493,3715,7061,9796,5595,7440,8862,59.14,40.510000000000005
541,115,4606,8190,8750,6461,1332,3781,8459,1827,45.03,54.48
5777,5630,9075,3506,749,2314,7382,2212,1817,6596,58.34,41.49
1967,9201,1409,1815,2276,6454,8262,4281,7492,858,38.86,60.85
6750,3622,2516,1560,2352,4083,3959,8245,4178,2147,35.97,63.41
4634,1359,5828,3113,3689,6259,9422,4468,1312,3105,49.370000000000005,50.470000000000006
7183,8845,8676,8832,5634,6263,1274,3257,4852,3869,54.17999999999999,45.69
7969,2699,2707,3698,6259,8888,2570,5425,450,3270,51.4,48.44
1870,7859,1679,1245,9961,623,5165,6115,1663,6111,43.3,56.52
9152,3928,5845,1998,4052,6918,2898,8520,5859,6251,51.27,48.43
8548,3849,6013,1169,5992,2308,7073,6247,1527,2578,56.32,43.49
2926,7713,972,5941,5361,867,1022,6419,8974,96,61.39,38.36
6588,8423,9251,3405,8288,7309,8259,2532,4880,2153,41.18,58.17
3848,7014,7152,646,5479,711,5143,2679,4082,1710,51.03,48.85
3967,3319,2607,5588,870,5208,8226,7040,8735,1662,43.61,55.910000000000004
9620,4767,5282,8590,8831,8915,1324,7565,4947,1084,52.66,47.03
6191,8655,1928,5426,816,5087,4359,9932,8305,2767,43.580000000000005,56.08
8980,5518,6279,84,2346,8193,5047,2911,3599,514,54.790000000000006,45.04
1373,504,5204,3139,7542,3003,2769,1086,9604,3053,64.63,35.06
926,1201,5444,1561,5528,916,4733,145,9604,2242,63.12,36.46
7682,7537,7131,6538,2978,1247,6308,4358,3011,194,57.269999999999996,42.27
7759,3737,6238,9227,2059,4149,379,932,771,5511,52.059999999999995,47.79
3996,403,8832,5403,6632,2274,4560,5693,1482,9835,47.82,51.67
7788,9275,4609,1663,715,5721,2317,3921,8934,137,44.18,55.58
1546,5569,7329,8571,3475,4619,9417,5267,7618,2760,47.22,52.53
1711,1044,7538,1762,5157,94,2632,9204,2628,7726,61.419999999999995,38.32
9083,3861,5845,5911,7336,5135,5935,2500,1573,672,46.96,52.54
3345,3396,4194,7473,8227,2988,5618,5829,2147,3706,49.07,50.63999999999999
4305,3288,7029,5351,9367,7525,4758,8381,3527,4878,48.29,51.470000000000006
5553,6303,6016,6504,3348,5977,8088,6690,2454,5582,74.38,25.39
6882,1813,628,2519,9762,4164,4206,1995,8077,4254,55.24,44.37
6026,905,230,6239,4311,2875,9614,1853,6887,8459,44.34,55.44
3319,4331,7049,6279,3715,6873,3289,8449,9276,2917,44.84,54.15
5472,8279,2376,3049,2438,5726,9062,6734,7826,4735,64.03999999999999,35.839999999999996
5821,728,6453,2170,2049,9834,6790,7304,2763,5775,51.129999999999995,48.69
4986,117,6976,6788,9953,2513,5812,7924,5133,9785,58.58,41.22
4579,6493,7444,3875,690,8047,3169,2899,2082,3893,68.74,31.16
8543,2414,1775,4826,4006,8158,746,4294,4683,9162,53.690000000000005,45.95
9043,7799,2430,3566,7353,6541,8779,722,5054,883,47.47,52.17
2936,6765,8252,7115,7860,1052,5862,3458,3673,7256,55.14,44.5
5469,5778,5523,9927,6787,2457,7938,2538,1844,1341,51.09,48.55
3319,8528,3483,9426,7374,1414,929,4712,1263,5430,60.91,38.89
3548,2303,3783,4730,9250,5227,2769,7709,9650,6218,63.82,35.94
5414,7223,8621,9103,364,7604,6368,6702,4872,9918,85.72999999999999,14.030000000000001
4083,7037,7152,4782,690,1503,7173,9766,8880,2850,33.85,65.95
9492,8769,5852,4602,1515,4207,6668,4814,70,388,59.25,40.56
2114,4760,5470,8745,6743,5115,1953,9540,8716,6222,67.75,32.04
2262,1172,1752,4622,3154,6543,2527,7520,6520,6818,38.41,61.39
2778,8821,7748,8497,5542,5435,6240,4891,2949,6790,55.559999999999995,44.24
3728,3603,777,9214,7051,9014,8519,9844,8331,7204,75.63,24.09
8712,3312,3623,2700,5248,5256,6591,1322,1573,3582,62.74999999999999,36.34
8617,1800,9755,2608,6442,5427,2077,5011,6148,2688,58.85,40.94
9152,4436,8129,7279,4284,6062,379,8119,2959,5637,43.53,55.989999999999995
9727,380,2922,5966,929,3990,6371,9799,9238,453,57.74,42.13
7441,3608,109,4065,4881,771,7893,9848,4409,7955,52.470000000000006,47.22
5727,9629,9127,9440,364,2236,6668,4509,3364,5325,64.14,35.260000000000005
6109,7906,1170,2553,872,4977,9062,8306,8530,7168,45.85,53.949999999999996
8567,9054,7676,4111,3748,8157,4895,7990,5525,2571,48.07,51.470000000000006
3816,4899,430,8870,5051,9012,8519,5188,8331,1351,49.87,49.93
7130,5492,4224,3782,1478,8996,570,3218,2082,7248,44.11,55.669999999999995
2455,3443,7643,2114,3795,8677,6484,9405,4880,9525,50.96000000000001,48.449999999999996
5054,8695,7613,2035,5479,5809,8477,3350,1242,142,57.86,41.9
2884,1875,6431,9371,5822,9429,6133,2629,4006,1330,41.57,58.25
2091,6449,6781,7577,3475,9209,6173,8970,6722,8479,66.34,33.35
3180,1976,9911,514,1472,9891,7294,6223,4880,4418,45.78,53.949999999999996
2303,251,3109,2054,5061,7562,3302,3448,9826,4551,45.73,54.059999999999995
3356,3452,4773,4872,510,8267,6917,7886,1547,2730,56.34,43.21
53,7793,7056,3422,6322,1019,5165,7115,6413,6225,52.449999999999996,47.31
1434,9649,2354,6492,8131,2129,6581,2292,5923,1077,59.24,40.52
6620,5870,6422,5019,821,6306,4535,7023,7810,7349,37.940000000000005,61.86000000000001
5634,2894,2751,9220,3685,8196,8339,5413,5296,530,50.63999999999999,49.230000000000004
4167,207,8182,4774,8761,3400,5812,571,5553,8553,50.28,49.03
9112,8553,1237,5144,5641,1141,4484,1452,5661,8145,62.08,37.69
4271,1824,2423,7157,6161,3569,3241,9918,4741,3576,40.67,59.01
6754,2401,4272,7738,4590,6669,3517,5662,7882,8571,59.9,39.800000000000004
4818,1214,8720,5210,3448,5132,7620,8299,10,3911,54.86,44.79
5430,9440,9127,9528,364,5436,6963,4329,6722,8007,60.919999999999995,38.73
8247,543,4167,9579,5701,7570,2465,5839,2406,4840,59.330000000000005,40.42
6351,8535,838,6515,2869,7237,8678,4295,1558,3751,52.15,47.33
5261,7908,6152,1282,619,7425,2317,3433,8934,645,54.790000000000006,44.87
6290,3837,3358,6178,6457,3288,7616,4201,2147,4848,57.220000000000006,42.57
2044,482,3471,3206,5272,2718,9363,3674,9183,1279,58.56,41.27
5634,1131,2871,7488,6620,6340,6746,1195,957,7302,52.03,47.68
1037,1019,1392,524,6230,4792,4870,4921,2293,2064,57.269999999999996,42.4
3728,4825,430,7481,5340,4418,9520,7972,6137,3125,52.09,47.73
714,5785,3745,6661,7247,1279,6313,8772,1606,6555,55.559999999999995,44.230000000000004
3685,4555,8230,3983,9367,2195,5143,5415,3527,3379,57.809999999999995,41.839999999999996
9083,6265,4617,874,2194,827,4227,1924,8989,3079,45.629999999999995,54.04
2926,7160,4533,7365,6290,8347,7640,5707,4872,6743,68.08999999999999,31.41
2950,5627,7568,1613,9326,7511,1786,1647,892,7243,53.779999999999994,46.07
2936,8704,683,1813,5721,5396,8262,525,1538,4066,57.940000000000005,41.94
3415,3859,5034,4043,6457,823,9983,4459,9631,117,56.61000000000001,43.22
984,9013,1046,5111,4688,2552,5731,8651,8939,7789,48.47,51.29
2936,8208,4978,8374,456,9492,6963,6588,5470,9981,66.63,33.239999999999995
5351,3764,7142,9774,4484,1379,362,9481,525,9198,70.94,28.92
3142,4316,4208,8923,8227,631,8490,9952,2982,5643,57.17,42.65
5573,5771,6080,5116,2622,9860,1863,4388,2082,7754,48.699999999999996,50.94
9657,8038,6251,9281,992,52,6668,5333,9546,9012,39.190000000000005,60.69
7367,2290,7590,98,655,403,8458,6431,4178,8684,46.42,53.449999999999996
2916,1503,4719,6148,7568,7665,591,6176,9650,8281,55.74,43.919999999999995
6127,5055,1776,5359,724,288,6780,5302,6446,1553,68.01,31.869999999999997
2916,6854,4533,4011,1248,9449,7175,2951,7476,8362,50.760000000000005,48.96
2306,896,9596,2111,1472,8492,7294,3752,4918,7107,38.71,60.980000000000004
3451,7351,6436,795,3094,3867,618,5426,4821,4999,48.93,50.33
6436,8798,5712,1365,3019,1991,2367,6787,7493,4157,56.28999999999999,43.41
5267,7085,1877,7520,8127,1822,263,52,4780,5386,43.87,55.60000000000001
7564,6346,3442,6082,2582,8036,6173,1865,1700,197,50.81,48.980000000000004
8983,3359,9018,3986,4786,8714,2549,766,1956,8074,48.209999999999994,50.980000000000004
984,699,6590,1190,2356,7917,3302,6649,2763,6966,53.82,45.769999999999996
7485,5885,57,1501,1325,8983,9062,9318,8530,9322,60.27,38.95
5321,5432,5468,6082,3348,8378,7749,2132,7159,9238,46.51,53.11
3867,5227,7574,7134,3695,5299,6173,4738,5926,884,42.43,57.17
29,37,4606,6344,5272,6457,2527,1241,6234,3173,52.93,46.82
7865,7160,181,1508,1325,6292,9062,4194,2770,239,47.28,52.53
3544,289,847,5596,6161,6525,8032,4450,6735,184,57.24,42.559999999999995
4141,4474,746,7648,1044,2610,6363,4968,7339,6646,53.18000000000001,46.339999999999996
3685,5308,5971,5050,1302,1663,6137,3166,5822,2228,59.8,39.98
7183,7584,5552,7985,9038,7352,3235,525,4646,6198,59.089999999999996,40.42
6016,3285,4614,3635,8170,4320,823,2301,2417,3596,57.87,41.93
9742,2434,4128,2509,5919,6098,7436,5267,2239,4891,51.019999999999996,48.76
7653,4304,7272,6683,5044,1506,3321,6504,969,2146,53.66,46.23
3225,368,3384,3928,5786,6795,2527,3146,2417,14,36.75,63.04
9543,912,2849,3015,8365,4049,4765,9327,1153,4023,58.5,41.099999999999994
2191,7458,7973,7871,5222,892,2462,4355,7891,2009,54.87,44.84
2044,1741,2459,8816,3429,2038,7379,4699,9337,5965,57.57,41.77
2994,7694,972,7894,4727,6702,1373,6247,9650,990,57.57,42.199999999999996
2586,6901,8252,9233,5222,2826,2273,7849,2437,7381,49.95,49.830000000000005
4620,7420,1291,8907,8119,8757,2364,586,6821,6754,58.650000000000006,41.03
356,6977,5022,5635,1362,5406,3773,6993,6940,3434,49.53,50.09
6882,7238,758,7170,7956,9495,3037,264,1669,9659,60.089999999999996,39.75
