Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
3131,9319,1452,6784,2674,6817,5220,7186,8025,8156,59.11,40.69
4531,9689,1718,330,2874,2982,7141,1580,3120,5569,55.589999999999996,44.21
1871,6626,2865,3916,7755,4997,7951,7732,3019,5510,60.160000000000004,39.45
5133,7849,2852,1020,7133,7645,6177,9541,3019,4505,68.78,30.959999999999997
5143,1765,8720,1089,3994,5824,7662,2965,2347,9327,62.38,37.22
904,6484,2544,2547,4824,7605,1741,957,8252,6021,41.91,57.8
1049,667,725,4895,3786,5581,7964,8209,8466,2542,45.64,54.17999999999999
2530,1625,6819,5017,6567,7743,8958,6730,2878,6088,57.29,42.28
6127,9945,6666,1123,4165,361,2175,8624,6587,9373,55.86,43.830000000000005
4335,8233,2087,5021,7517,2139,2444,7546,5068,4403,55.53,44.29
4620,5263,2977,697,8131,3833,7053,7044,6787,6460,63.0,36.78
6562,5936,1272,4081,7517,8610,2407,8144,3580,5983,56.34,43.37
6914,7080,6422,9409,2032,198,2367,9756,4365,3983,58.309999999999995,41.339999999999996
5969,3771,6954,3309,862,8421,8958,3946,2446,158,47.12,52.68000000000001
7076,8664,1638,7347,7861,5588,3541,4107,7675,9008,43.75,56.10000000000001
8126,858,5967,2073,6586,6942,3655,8010,6218,1922,48.79,50.99
6359,8920,6666,8452,3883,692,2142,1695,1527,1921,51.31,48.35
1926,4602,4424,1504,7755,3717,6994,2171,7100,5972,57.84,41.83
7238,8682,1638,8456,6925,8699,6674,7543,6239,3925,67.19000000000001,32.2
6562,442,5662,1797,7636,6229,4514,2832,1874,570,61.419999999999995,38.42
2124,5048,6982,9624,4878,7898,8477,2134,6722,3385,48.92,50.519999999999996
7194,7747,8022,5620,4071,2458,1372,8762,8867,6842,48.58,51.2
8147,92,3669,6346,8933,2791,4214,3048,5272,3683,61.7,37.96
831,3069,8029,934,7178,1575,7463,9556,3239,9258,66.60000000000001,33.160000000000004
2684,6417,2434,1729,8045,2314,6177,2122,3456,7271,54.96,44.800000000000004
6127,8667,9251,1934,2438,5849,2247,5621,3516,9182,52.559999999999995,47.19
8424,170,1970,6871,5751,778,6693,1861,2974,934,55.61000000000001,44.11
3225,5930,7574,4551,8825,9412,5327,8474,8658,8747,49.49,50.32
7273,1510,1625,9255,4676,7088,2210,2397,7212,8369,63.57000000000001,36.19
8442,1497,2931,1269,713,7730,8286,8967,5786,6182,48.85,50.660000000000004
3913,1056,8231,634,8224,404,1551,7047,2260,7314,47.02,52.51
8659,6466,8068,4808,2952,6110,3778,9376,2496,9433,49.03,50.78
6664,6901,8022,2276,2360,7996,8856,8972,3516,6900,67.23,32.629999999999995
2975,678,1112,777,5061,1636,7073,3332,13,339,59.51,40.27
6665,7991,2213,7334,6852,2366,3541,3694,968,5771,47.92,51.89
6665,6180,8238,8078,2535,1687,4526,7910,440,426,48.43,51.17
8986,4157,2122,9675,5976,7796,8575,1574,5445,215,62.69,37.11
2320,8817,3540,3001,8045,5812,6730,6406,5068,9674,70.04,29.79
6685,1408,2823,1717,3484,9047,4514,9913,4583,6321,58.29,41.57
4469,4742,6427,1550,6079,7993,7114,9342,2070,5157,47.980000000000004,51.870000000000005
3036,3193,7368,7141,7881,214,5618,2199,2446,4254,53.66,46.11
3036,1141,8257,4238,3448,6604,7073,1899,166,6677,45.48,53.87
5980,3543,7059,3868,7019,1392,2818,4739,1378,1308,65.2,34.37
4162,8736,4680,8421,8589,3166,42,7445,7890,5680,45.94,53.55
4620,4197,142,1709,6853,3766,2632,6501,7890,4449,52.7,46.75
3335,4869,7574,2907,7176,8490,5816,242,2372,6955,53.269999999999996,46.54
1571,4693,3361,9158,6743,7523,8883,8348,4986,3463,59.98,39.739999999999995
2530,5693,6391,5774,2742,9207,7478,488,8922,4718,54.42,45.33
6980,6159,6422,6377,1858,4510,3778,5778,7290,6867,61.550000000000004,37.97
8015,2881,1775,2011,5545,4363,1696,3672,4871,9265,53.49,46.19
8425,7374,8112,9483,2032,2010,2847,5553,4365,2308,58.91,40.5
4162,8988,4680,3198,8245,8471,2407,2222,2686,9320,55.45,44.41
4620,2732,4187,2295,7568,8238,3433,8853,7621,5476,49.14,50.62
904,1701,5877,3948,2777,5720,5121,8603,7855,1326,59.809999999999995,40.0
8986,6367,4617,465,5380,5368,7756,1068,6559,5276,68.11,31.72
6876,7616,2116,7009,6852,3272,3541,3578,968,4997,65.7,34.07
1056,1775,5877,2438,7983,371,6255,8140,3307,3939,48.480000000000004,51.33
8540,2758,2371,6891,6831,7790,1819,9462,1482,3740,58.06,41.75
8147,4606,3432,5592,6821,5376,2818,72,2574,6679,63.67,36.11
3036,2447,6448,4200,7881,4009,6034,769,3784,3346,66.47999999999999,33.4
1065,5671,4260,1942,7755,7013,8477,6714,166,6116,46.160000000000004,53.7
2530,6782,2434,8237,3512,1828,8477,7432,6305,7878,46.31,53.349999999999994
7119,7060,2770,5790,7032,2345,836,4010,2675,2252,46.68,52.61
4425,1216,2873,8444,6857,3356,3503,1090,7855,8185,43.46,56.410000000000004
4031,9040,5887,4485,70,6822,4098,4489,8682,6137,59.17,40.64
7028,1941,5408,660,3964,1969,9209,8425,8977,7746,52.470000000000006,47.28
