Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
2236,4642,7643,6951,1346,7069,4249,1671,8556,3514,41.78,58.01
6585,2853,627,4241,5835,6684,7493,8980,3382,956,61.22,38.35
2880,3798,6715,2295,6086,7659,1551,2006,2324,7156,63.28,36.6
2684,6786,8252,6725,8825,4678,5327,7228,3035,6900,66.72,33.07
6932,5491,1550,54,5425,5566,1819,1179,4739,1863,54.339999999999996,45.519999999999996
7119,8351,8980,6570,2438,2677,2367,2379,5926,3405,52.800000000000004,46.82
3466,3808,7049,5835,6457,7976,4551,2508,5308,196,52.43,47.32
6247,5250,1550,3227,2352,9234,6447,3586,8018,7230,39.379999999999995,60.34
2236,5489,5557,5475,3715,7527,9648,3652,6355,8582,42.6,56.95
7610,9770,2374,3532,1310,3221,7965,3509,4974,6525,62.660000000000004,36.94
3728,3458,4773,7817,8324,7293,8239,7909,8122,2197,52.800000000000004,46.989999999999995
8617,1806,8381,1709,3016,1478,4071,739,3161,2727,68.88,30.78
3728,7723,5527,3544,6968,7450,5944,227,2068,5164,53.71,45.9
6925,6978,6121,2303,2213,728,2171,6196,2274,3276,51.99,47.46
7028,5108,5942,7903,3628,5239,3778,8041,8716,7499,61.35,38.48
6932,7191,8022,6939,9065,7257,1862,9755,6722,689,60.62,39.25
1049,4799,5072,9985,2388,4800,8958,8264,8122,3524,57.47,41.9
8015,6405,3129,8726,1592,1337,6370,5220,1839,1252,60.89,38.83
5400,4230,8428,6145,149,4604,4625,6802,2347,2210,47.69,52.01
1049,2959,9637,4746,6547,6368,6034,9168,2070,5618,46.69,53.080000000000005
6980,4357,9817,6532,8641,3255,2818,4629,1257,6404,64.61,35.17
3479,7418,4533,6628,5970,8015,8482,1961,2374,7385,58.120000000000005,41.660000000000004
3532,4416,1959,8077,6971,3548,2818,135,9594,3514,53.52,45.78
5170,9660,8038,9455,4713,3163,5193,7807,8122,8073,52.68000000000001,47.03
4469,7750,8164,9935,8776,1507,2367,2497,2379,1556,38.26,61.53999999999999
5371,7907,3092,543,3397,4060,7725,5159,6137,3558,58.230000000000004,41.44
2456,9887,1452,6131,4133,1635,8457,1965,4423,9715,41.81,57.940000000000005
8730,8518,945,710,6645,8775,8121,4450,3713,3403,47.0,52.790000000000006
