Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
5634,4483,8238,3852,862,5616,3517,9160,6236,8250,46.18,52.92
6196,2452,627,5974,6259,4957,8032,9802,5414,6935,54.09,45.519999999999996
2994,3300,8012,5192,4321,2765,7078,9459,6234,4458,52.349999999999994,47.43
4583,2166,9542,1396,4310,6486,1006,5738,7825,1160,48.980000000000004,50.7
4181,5566,8402,9651,7324,1842,4269,4240,1263,2212,44.330000000000005,55.53
2149,4181,7643,1866,1451,3038,5776,9255,6069,459,45.76,53.94
7060,8533,7424,3603,4252,6491,2362,3054,5926,8237,53.839999999999996,45.67
7682,4924,3058,1080,2473,2181,6430,8935,7843,628,51.78,48.0
1938,3684,8026,943,890,9900,6516,6975,4146,6021,48.16,51.42
8354,6761,3129,6882,7817,5248,4997,5103,3162,6255,68.54,31.290000000000003
2674,32,3109,2742,837,5509,6363,9489,6940,6539,61.019999999999996,38.550000000000004
53,76,335,8098,3995,9272,7756,3928,8018,8828,52.07000000000001,47.72
7260,1281,1625,5155,6806,158,3222,4724,2079,4469,62.19,37.54
4634,359,5038,45,1649,2460,9209,2882,2668,393,63.59,35.839999999999996
361,8860,5035,982,6933,2975,3797,8099,3527,5632,56.120000000000005,43.66
9301,7535,2430,6839,5976,9563,4997,1755,664,3287,50.51,49.309999999999995
5634,2032,809,461,2473,354,6591,5341,8364,3564,68.45,31.259999999999998
8142,3569,7534,2492,2928,2081,924,3260,3942,7721,52.75,47.15
4620,3953,3474,197,1649,1150,5374,8603,6069,6342,56.82000000000001,42.9
8976,840,9209,3195,953,6595,1863,7582,6236,7314,50.29,49.47
8869,2974,6192,1549,4685,1650,6048,9191,4576,5687,55.71,43.75
5351,4782,2243,1870,6321,5709,8610,709,3178,3473,53.81,45.85
27,6646,4005,3341,7050,7757,2755,4061,3775,6702,48.51,50.580000000000005
7938,923,4482,9890,1545,3884,7841,2107,3248,9253,56.279999999999994,43.38
7934,8649,4545,6375,8074,7093,7966,8049,5884,1051,58.940000000000005,40.849999999999994
6754,1156,2893,1070,9847,6092,2162,7572,7077,6321,40.410000000000004,59.07
5469,2295,6480,786,9758,7706,2162,1404,956,6860,46.6,53.22
381,4335,8029,6181,2419,6017,7734,2727,8934,8266,40.550000000000004,58.830000000000005
1938,8875,6803,4733,7519,6169,2443,2729,5671,2947,45.69,54.059999999999995
6242,7744,7132,7617,2978,9562,9082,1792,4011,6198,63.06,36.5
4184,865,7747,4736,7881,1846,461,3886,473,447,50.839999999999996,48.71
3279,8605,3483,1688,9861,4154,4061,7635,6864,9604,38.17,61.650000000000006
4579,7716,8316,2169,3462,7735,7183,7822,4405,9465,57.52,42.03
9083,4144,1978,5188,4296,2287,6953,6984,4178,9699,49.4,50.0
6975,7018,2024,9458,1808,4978,6173,8522,8499,3372,40.6,59.27
7260,41,2640,9842,6370,1356,1696,8267,7638,6806,55.589999999999996,44.13
3899,9369,2430,1275,7660,9477,7522,2614,8577,1863,62.839999999999996,36.89
6368,1006,9367,6739,2693,8678,4427,9487,2716,9278,65.55,34.31
7058,2929,7211,6656,6636,4934,325,4038,2691,6476,55.83,43.49
2047,3208,7643,7912,4878,5979,4860,8191,6585,8178,57.91,41.71
5521,5711,1420,6456,8127,5923,9189,7357,3441,1875,49.86,49.74
5584,2345,6480,3124,3689,5149,3119,4962,8636,2548,65.62,34.23
8629,7587,1449,7425,6553,4662,4216,1956,1915,9795,47.63,52.03
2674,3854,5616,8638,5822,2316,4269,3454,2204,1418,52.580000000000005,47.15
2724,1892,5837,8409,9425,2762,5812,3598,2648,4964,51.41,48.309999999999995
4883,7922,7651,8367,7064,9023,8804,9884,3251,6629,66.14999999999999,33.6
5980,3692,7059,965,3683,7216,6332,4834,1817,9197,49.86,50.03999999999999
4344,9170,2681,5957,9318,6799,7966,1566,4663,5014,47.06,52.66
5261,192,2674,3515,2838,1273,6625,6338,7036,1585,70.25,29.38
2674,9965,4669,3036,4590,4579,8477,1659,9212,1844,53.82,46.050000000000004
6214,5500,1277,3014,6314,9410,4227,5685,8160,9343,54.33,45.07
2994,2941,7368,5928,4321,9713,8416,7003,4880,5240,61.53999999999999,38.279999999999994
9546,3973,6730,5168,4438,3483,2847,7671,2878,260,61.49,38.37
3162,2065,6431,5351,9425,8674,8407,1623,3077,6341,42.230000000000004,57.53
845,724,7878,610,2356,3093,7418,6185,4576,6272,63.690000000000005,36.01
6280,9663,6065,5898,8738,8107,2930,9789,5394,3848,58.25,41.620000000000005
645,4921,5825,9147,6078,4664,1953,9869,9650,9920,51.370000000000005,47.92
7865,731,4482,8774,7312,9775,8905,1282,2152,2383,63.61,36.0
5062,4441,8534,7609,984,1541,7232,5426,5822,912,61.480000000000004,38.1
5344,6098,6016,6723,8084,8531,8268,7665,3801,790,53.03,46.19
5472,241,2674,145,9847,727,4206,132,5465,8812,71.52,28.29
4588,7142,6169,9009,2536,1961,5091,5079,1923,8048,48.67,51.04
3365,473,847,2935,6230,3847,3818,5543,7290,7069,62.0,37.769999999999996
6292,3186,4614,4299,862,2535,6591,8629,2026,3592,52.410000000000004,47.23
4271,1591,1422,7851,3804,812,3042,433,956,8596,48.51,51.31
8014,7971,6859,8145,2719,7219,4021,9420,6722,8626,68.49,31.290000000000003
6397,10,4143,2522,713,9919,2570,7070,8382,4302,55.269999999999996,44.43
5971,3458,4614,6820,8227,802,8409,966,2446,4777,57.31,42.29
6980,5836,6955,147,2221,1613,4064,57,755,780,57.089999999999996,42.63
3345,7516,7510,8083,6787,4138,8958,8818,6659,1955,42.53,56.82000000000001
6536,2821,3038,7761,4590,6665,5975,178,5015,6447,56.58,43.21
6123,6447,1228,7746,5099,5433,3731,2997,7289,9341,58.709999999999994,41.15
4846,4485,8534,1855,1451,251,7196,1513,5005,4678,58.93000000000001,40.36
2926,9108,6910,4455,7519,3106,1651,9031,3673,4869,47.620000000000005,52.05
8662,6728,4055,3649,5815,7769,4227,6376,1886,8033,52.62,46.910000000000004
5553,8313,1767,7512,4356,7728,1930,5077,9277,4046,56.61000000000001,42.91
3621,5640,7574,8971,7602,381,8159,5750,2447,9268,64.92,34.83
1967,234,6668,8283,8750,3520,4860,2990,5133,4220,53.28000000000001,46.58
2410,3626,8026,6127,973,7577,3276,5548,9276,2281,53.580000000000005,46.150000000000006
7720,4495,3058,8591,2183,5602,6173,1575,664,4205,61.83,37.88
6123,9151,4571,4099,1478,2639,7965,3427,5727,433,58.809999999999995,41.02
6193,8353,1928,6942,2869,9931,7734,4414,8217,409,61.650000000000006,38.019999999999996
9492,8694,1237,5556,8053,4669,4074,2201,2360,8041,46.33,53.13
6980,9602,6178,6327,9240,4124,2930,5912,2593,5327,72.49,27.18
8806,147,3235,8050,433,2796,1184,7166,8077,3069,58.34,41.42
8563,8917,5859,1460,4656,5457,2317,3112,6137,4345,53.669999999999995,45.93
6231,3595,1305,9955,6971,3639,1666,8155,4947,4842,65.36999999999999,34.36
926,2951,1631,3104,5,1471,8750,9314,8636,138,42.54,57.220000000000006
5980,1171,5903,3080,543,724,8818,2215,2668,2103,68.42,31.269999999999996
3225,1369,8078,3932,6494,5863,2670,441,6086,6589,45.33,53.98
7938,9031,4545,4598,5573,2137,1020,5726,2675,1304,56.36,43.37
2091,1057,1752,6688,5479,4207,8904,9374,3610,6428,54.379999999999995,45.440000000000005
6811,8358,7424,5239,9105,6920,8722,9030,8331,4094,17.740000000000002,82.05
2831,1505,9911,1235,1472,96,7418,3226,5005,4049,47.55,52.2
7938,5793,7283,3736,2928,6683,5193,3064,5926,1798,63.85999999999999,35.24
7783,3224,2371,9665,6370,2434,1696,4810,956,9368,47.47,52.410000000000004
8487,1390,4879,2613,3484,1847,4071,2886,3640,9639,42.72,56.99999999999999
7224,4965,5942,9206,4362,2382,362,4784,2569,1492,63.260000000000005,36.57
7238,9455,6178,5856,8738,5648,2874,7152,2593,6140,57.84,41.980000000000004
5553,8931,8726,3519,2438,462,9172,1734,3551,7891,45.71,54.06999999999999
5553,5687,1420,629,6294,8421,8167,823,5054,9290,48.59,51.29
2778,4744,3517,6146,7236,1225,7394,8407,2437,4811,62.0,37.54
541,63,2060,6956,4164,8369,7424,5712,6147,9798,58.3,41.57
3548,6924,6436,5605,3475,5119,8088,5324,2454,3904,68.39,31.45
9336,2586,2825,4322,3484,8152,2570,3964,2675,5982,42.4,57.26
3335,4376,7049,8367,7841,9060,2406,8042,592,821,52.61,47.12
3225,8943,4694,3527,4590,3319,8477,9807,7715,7800,58.660000000000004,41.11
6123,9425,4571,5200,1305,2458,2171,7519,5068,9876,54.379999999999995,45.34
1727,1892,6926,5657,2140,5040,1568,2901,5790,6480,53.0,46.85
3225,9708,2931,8335,7063,5734,825,3212,9650,8780,56.26,43.25
1119,3970,9626,2661,2419,4387,5776,8907,6234,1846,60.089999999999996,39.47
9292,9736,5109,6654,8071,489,4969,438,1844,558,57.13,42.620000000000005
3180,8105,4460,5863,4641,5832,7327,2080,9212,3736,30.880000000000003,68.81
4083,9622,2626,2547,7660,2701,6177,8308,8939,6746,55.2,44.65
3365,9984,5410,3744,5103,7289,7824,401,8025,3800,51.370000000000005,48.480000000000004
5672,5556,8238,1837,3683,8062,7179,5899,1817,2506,54.87,44.46
5179,4181,7059,5399,3715,3299,881,7570,5336,3096,73.79,26.0
7260,1415,1625,5074,4311,6289,8032,9375,3358,9709,62.78,37.0
5472,5554,9890,409,1472,3672,6332,3008,5859,4473,62.88,36.33
7876,3913,7272,8779,3628,3980,7130,6666,1839,9939,46.22,53.18000000000001
4050,9762,1718,6516,2674,1602,7089,2262,5727,148,58.39,40.97
8421,4790,3432,4076,3784,4380,183,6114,5279,7628,65.74,34.04
1849,6020,9607,670,7264,6950,5883,4588,3307,8020,52.790000000000006,47.03
2981,90,4782,5928,8147,5250,8249,3490,2648,9217,58.550000000000004,41.28
3863,7324,6436,8869,2536,536,5091,6159,1923,750,49.99,49.75
8762,1354,2547,9804,1980,6181,1979,4591,7882,270,62.39,37.47
4883,7569,1291,999,7791,2183,6177,1496,3437,282,63.67,36.15
2530,504,7238,8778,7976,2620,7078,7082,661,6011,59.36,40.050000000000004
4050,1930,1422,6176,6161,1200,8032,3369,1649,273,52.44,47.370000000000005
4427,9017,2401,2825,7003,6675,6177,5088,1460,7715,45.71,53.7
1618,7516,5491,3496,6933,5364,7640,143,4530,1256,52.22,47.61
1766,4009,2958,8822,6461,2797,9520,160,3242,5711,55.300000000000004,44.55
3952,619,847,4002,1376,8594,7756,710,4747,866,61.78,38.01
8662,2909,2371,2523,2352,6669,5295,6397,5337,2827,66.17,33.62
2913,9071,6910,429,6079,7122,8477,601,4880,8690,55.120000000000005,44.46
2044,4503,5470,3007,1452,8268,3486,1638,7339,2953,53.49,45.98
5634,9731,9127,3933,2438,3342,1684,1793,3403,4550,54.15,45.519999999999996
5694,5451,8238,2845,862,3634,7382,7730,4880,3838,48.980000000000004,50.92
7865,1990,4604,5949,6358,7510,8107,6670,3086,9124,51.559999999999995,48.29
8399,3085,2371,5945,9183,7575,6843,5335,2570,9866,41.28,58.39
813,5119,8285,9069,8028,5461,991,8895,9650,8925,48.83,50.690000000000005
9332,2599,2825,3170,2352,5817,5607,5407,7036,6403,58.91,40.510000000000005
2926,1966,6431,6179,4321,5225,979,8738,1257,8038,44.940000000000005,54.52
2262,148,6668,9132,7976,1890,5618,8296,661,3006,52.05,47.73
7783,1238,3656,2038,3484,828,4071,5273,3206,8354,53.12,46.62
1301,6886,5248,1458,9338,5385,5369,1685,9722,2006,45.73,53.81
