Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
6914,6346,6955,275,3108,8141,2619,6445,5926,2670,56.35,43.45
1632,1822,7538,6212,6567,6702,3330,9451,2324,4058,48.47,51.31
8015,4316,2845,6830,4428,8942,7214,2467,3035,8446,32.87,66.82000000000001
2530,9856,1740,4695,8045,4847,7284,177,3818,6756,58.93000000000001,40.910000000000004
1766,8159,980,1797,8131,8261,7183,4542,3818,4818,62.59,36.59
3279,7773,2664,4232,4824,4610,7640,4027,2301,7306,55.60000000000001,44.019999999999996
3532,9420,7927,9626,4713,3002,5791,3685,2287,5236,63.82,35.8
6311,2135,2823,5651,2838,288,7756,4713,2250,3986,57.05,42.74
2453,5872,6781,7070,5222,1326,3865,8169,8122,2382,53.790000000000006,45.83
1926,4905,4526,3864,4824,4209,2324,9696,5414,4842,35.010000000000005,64.60000000000001
6980,2851,5318,6266,1819,8513,5978,1773,2372,3982,46.2,53.580000000000005
6925,2851,5318,3061,316,1918,5374,735,4469,6565,46.96,52.470000000000006
713,5899,2630,4478,8131,9225,5341,3352,3818,4998,48.94,50.949999999999996
8073,8061,7025,8708,6962,3888,42,5233,3925,3821,46.37,52.800000000000004
8147,6387,5829,4583,5069,1245,3865,3552,2982,7556,52.1,47.49
3913,4983,6641,2566,141,3437,5374,8140,7339,4985,48.0,51.82
7541,4585,3058,2994,7254,9515,2764,7734,3387,1911,46.410000000000004,53.42
4634,724,7326,7922,8761,7231,2068,1817,3962,3752,62.77,36.91
5703,1093,2823,9215,8842,6429,3517,1715,2675,4947,56.99999999999999,42.83
8617,3840,1679,9840,7386,5631,3848,4764,2675,4846,49.19,50.2
620,4587,7910,4543,6567,3990,7449,7429,3035,1998,60.6,38.519999999999996
8147,5063,1420,7196,6831,8662,9588,6412,8578,3292,44.86,54.82
2207,1899,8630,5310,6567,407,7078,8072,1687,2998,63.080000000000005,36.15
3270,1056,8257,6556,7324,9423,4860,7338,4540,2827,54.22,45.269999999999996
1871,4828,3205,2809,7755,4930,6896,6468,6239,7391,57.230000000000004,42.05
6280,5230,8238,8525,2059,9594,7631,7671,5926,2197,50.17,49.7
7979,3304,1917,1840,4757,1076,1819,9900,1346,3922,54.06999999999999,45.81
3529,5797,6482,2258,141,7731,7756,4976,3920,1384,51.459999999999994,48.39
7441,3684,8677,5064,8641,807,2444,3167,1257,1454,59.209999999999994,40.44
9152,4525,3918,9193,4296,7039,7214,7096,1923,1209,61.57,37.93
4822,2099,8231,8912,7841,7556,4895,9535,2518,9421,57.35,42.35
2950,3021,7843,8139,8292,922,2760,9482,8266,3071,39.11,60.6
1372,9843,2354,248,7519,5018,6182,3506,4421,2385,59.14,40.68
6016,4923,6018,7785,4037,7272,3778,7806,3175,7353,51.339999999999996,48.449999999999996
2619,4644,7643,4308,6031,9368,2670,9323,3849,1835,52.82,46.83
4986,7359,3092,2765,2263,9223,7493,2872,8122,1350,44.86,54.93
9083,6220,7283,3753,2438,4236,1372,412,5926,5446,53.13,46.7
9152,6411,4617,5701,5069,8894,5935,4178,2051,9112,62.44,36.919999999999995
8730,9825,7676,158,1650,566,5097,4706,1695,4095,64.51,34.94
6016,4504,8238,9407,4544,2934,8575,9583,2274,2727,67.06,32.73
3036,859,5416,9495,6743,1992,3082,6662,1973,2164,62.050000000000004,37.79
6585,3281,1305,553,5425,491,4214,2143,2250,7969,53.459999999999994,46.32
8455,8786,7025,79,1650,9813,2039,6815,9178,9466,57.379999999999995,42.1
8659,7349,3760,5325,7032,2033,2619,8071,6587,5846,62.28,37.38
8225,9937,3924,9077,2263,1775,2110,6987,8115,9775,58.39,41.5
4818,8488,1812,479,8245,5700,7264,9735,3019,5635,44.05,55.52
8442,1317,9390,4924,5428,6423,912,2804,2417,3110,63.2,36.55
1711,1530,7538,3942,7324,1760,9326,6504,4815,8993,37.669999999999995,62.029999999999994
525,3029,9637,3001,8867,220,7078,5319,3784,1530,58.709999999999994,41.15
6961,7493,3350,3002,8984,6955,4126,743,3175,3008,55.33,44.04
1093,6706,2865,4398,9128,9695,7183,7480,6137,8010,64.24,35.36
8705,4761,3432,102,2042,8759,570,317,8950,1353,51.480000000000004,48.38
8929,7627,5219,6328,1840,2806,2367,2021,6828,7653,52.239999999999995,47.599999999999994
6925,3177,1370,7593,6821,9490,4178,2858,7540,8630,50.18,49.72
904,1512,4834,2762,6851,7906,3896,3264,2372,7860,43.36,56.37
3127,1264,4719,6433,1452,7724,2068,6014,8058,5911,71.69,27.91
1233,4738,4993,418,7755,4801,6994,4403,8125,1301,70.61,29.220000000000002
7264,3812,6945,469,6379,4384,2162,8987,7275,6269,48.13,51.49
8981,6677,8068,4721,2719,1979,1372,3861,5676,7023,47.82,52.019999999999996
3466,1298,4719,3012,1452,4926,4260,3728,166,2861,56.49999999999999,43.33
6281,7264,2116,7852,1286,3879,7965,3656,8122,5885,60.9,38.64
3127,1307,4719,6926,1452,5912,5547,9422,7339,2891,56.64,43.230000000000004
8015,2608,2371,4086,8161,9466,80,1065,7882,9773,55.13,44.68
6585,4899,8251,1148,2928,5343,8121,8593,4815,299,54.779999999999994,44.98
8142,6081,8374,2058,2438,9804,3257,2637,6977,7513,45.22,54.559999999999995
4579,2380,9652,7658,5824,3078,7078,4047,3729,5704,55.92,43.88
4335,4291,5141,8736,5692,8913,8477,2100,5519,6367,47.599999999999994,52.26
6961,6208,8737,7205,2535,3674,5246,8899,3849,3810,49.16,50.68
5170,6284,3447,548,2473,281,6844,9873,4161,5995,62.519999999999996,37.32
8869,5385,6213,1396,2213,1634,4071,530,2713,6411,55.489999999999995,43.88
7076,5795,6422,6430,1858,6436,8189,4093,3175,565,67.01,32.09
2251,6773,5248,2841,6457,2429,8457,9767,3525,8042,47.81,51.99
6016,3818,1526,5733,8529,8251,4339,8069,4583,96,58.660000000000004,41.120000000000005
2530,4455,7643,2688,5474,4158,7449,3682,2446,8933,62.61,37.18
6281,6249,1277,3394,7032,1149,3849,5895,6722,7164,56.699999999999996,42.699999999999996
2917,2258,5999,1864,5181,5462,6034,4951,934,3533,62.29,37.480000000000004
6562,6045,7013,2664,750,3346,4470,1842,5926,885,59.98,39.76
4425,2145,9652,3220,7178,4207,4758,6458,3784,2597,52.5,47.33
8897,4794,3432,5740,5475,3006,2619,5777,5272,8403,43.480000000000004,56.31
6953,7289,8022,8752,5491,9262,5978,2901,664,9950,65.08,34.75
4097,6064,5539,8652,2032,1997,6668,1628,5124,2287,52.75,46.54
4335,7841,6755,1736,1454,5292,7756,2567,4493,2711,41.05,58.660000000000004
5133,8349,1812,4227,7374,8143,7183,3021,8025,3324,66.0,33.82
6961,3076,1370,4752,6259,9018,7424,4751,3488,6378,51.85999999999999,47.46
8540,5178,2845,2661,1716,7039,6447,1336,7882,6929,48.71,50.99
6359,5204,8238,6879,4367,2704,1047,1656,2287,4555,48.66,51.15
6317,7150,2116,7299,9325,4563,5207,3136,1345,4480,44.12,55.65
4620,958,8889,6150,7324,5922,2619,9228,2070,7343,59.97,39.86
7046,3343,2122,5904,6259,4923,3232,9259,7775,2075,47.74,52.09
6281,3425,1544,4521,6821,5038,3232,262,4583,968,64.08,35.55
7028,6076,4224,1504,6697,9038,3758,4699,2516,534,53.959999999999994,45.49
3279,6071,9965,1863,8423,806,5327,1682,2446,2419,56.04,43.75
6275,1117,2823,6570,2701,2195,3468,7451,2982,721,50.19,49.46
8986,7613,5219,330,9574,8446,7478,3725,934,7583,48.8,50.760000000000005
7367,8616,3674,549,6645,686,2632,5499,2974,1723,54.39000000000001,45.08
4163,2832,9730,6009,7124,2850,7078,3217,1874,4089,58.53,41.089999999999996
9152,1807,7165,1921,3016,4731,4944,5356,3920,1885,48.68,51.06
5771,2203,627,3236,5751,2005,4625,370,3382,5979,60.870000000000005,38.73
8015,4113,2667,3649,824,2810,2213,1300,440,9286,53.31,46.52
1622,9383,3262,8265,2674,2811,7939,1405,8122,464,59.35,40.489999999999995
8142,7354,6859,7470,9176,1127,3257,7068,2274,7147,57.85,41.89
5179,1928,4187,70,5902,8075,3433,2835,2974,8159,48.6,51.11
8617,736,1973,2595,713,2189,2576,357,2974,4521,58.47,41.14
6980,3123,1370,866,5425,9416,4006,5777,7430,220,56.35,43.5
5371,7921,2852,8024,8131,2844,3901,3594,4421,184,62.89,36.4
7273,9489,8676,2602,4989,9867,2247,1384,1851,9245,46.28,53.559999999999995
3270,1116,6819,1468,8224,3395,2444,3836,1874,5535,49.86,49.81
8014,915,2235,5536,5751,7930,1819,9473,3387,6309,58.709999999999994,41.17
8225,5415,4812,4842,5069,7114,4126,8296,6355,7657,61.96,37.57
4822,3150,8329,7234,5824,3483,2670,1840,268,5973,41.46,58.25
3036,5048,436,2946,8131,8275,7183,7840,7621,9392,54.35,45.34
5980,1149,2823,5780,2838,6647,7841,1006,1973,6642,65.02,34.25
8797,7141,4561,1075,2352,6738,2175,1050,8382,3855,42.76,57.03
904,1497,4834,2211,1133,3545,4260,8926,1346,4184,39.910000000000004,59.88
7850,4049,2845,2315,1716,663,6430,4541,5415,9735,52.769999999999996,46.97
1711,6661,4420,409,7133,25,1931,5223,4871,7629,54.92,44.92
3225,7493,6322,2346,8825,6748,2670,6439,5263,1301,55.989999999999995,43.53
6750,4774,4224,2127,1716,4283,6715,3564,3056,8210,55.559999999999995,44.1
1926,496,725,7584,278,1085,6962,8103,5848,2012,49.64,50.07
6925,5303,7013,1579,2363,8515,7756,9610,3516,2366,70.0,29.830000000000002
4425,7237,5651,1466,7519,9257,2670,9155,2878,8211,58.86,40.82
