Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
8354,2800,3623,1297,2084,2854,6625,2613,2668,337,71.77,27.85
9256,257,211,7499,6245,3741,4593,9923,7480,9843,52.42,47.339999999999996
9492,190,211,3491,6245,6185,945,9213,4389,2239,50.71,49.02
4464,4217,777,5078,8936,7873,7756,7144,1132,3960,45.800000000000004,53.669999999999995
6620,6880,6121,7118,2928,7448,7175,9160,3249,739,48.22,51.54
4671,6189,1877,3399,5275,5847,8344,9329,3920,2448,50.59,49.19
4550,7709,9853,8766,7025,1290,3465,5506,2219,7577,55.559999999999995,44.31
6231,8626,3045,6243,7551,8003,2874,7171,7773,6426,65.22,34.19
6292,3638,2516,5086,7032,7343,1993,124,9804,6512,44.019999999999996,55.52
6953,9712,1913,6290,2063,7819,6872,1907,5926,2609,67.46,32.0
5584,3092,1526,2833,913,6605,6917,3593,5859,1125,59.99,39.83
4564,1453,5828,4733,7365,7319,8416,3247,5123,6590,51.04,48.51
5522,6310,7356,3318,3462,6852,7749,5307,5884,2685,52.82,46.94
8662,540,924,5591,6245,884,2282,8860,2079,5837,43.63,55.58
2119,3624,5470,9259,7648,4022,269,2234,6086,1205,60.73,39.050000000000004
2460,8178,7564,9117,7725,8988,4436,4265,5410,112,57.879999999999995,41.9
4583,5638,2977,2182,2473,4274,7418,1826,7268,1661,48.64,50.94
2236,5300,7368,6736,2419,6190,3289,2696,4003,345,50.03999999999999,49.730000000000004
2806,775,8257,5298,8761,754,2575,7504,6069,5472,54.790000000000006,44.73
2460,6520,2627,5638,6461,6261,7327,1101,5414,8550,61.75000000000001,37.6
4767,6560,6169,6238,2032,7843,9082,354,3161,2596,48.980000000000004,50.86000000000001
6620,147,471,6075,4311,8327,7424,5644,7947,7761,41.870000000000005,57.720000000000006
6754,6004,6955,5043,3960,9623,3761,1642,8922,8637,50.63999999999999,49.120000000000005
3957,6756,8402,730,3094,3672,2786,7982,2309,159,47.79,52.03
5351,5691,7444,6064,3715,1708,9046,7975,5822,7914,44.2,55.65
7091,9847,1913,653,8145,824,4110,564,1373,7980,67.77,31.75
8222,3082,3623,6718,1369,4658,6662,8012,5727,2631,56.82000000000001,42.79
6231,6994,1228,9647,6966,6637,9169,1764,4785,8617,55.48,44.1
4083,2603,5413,4346,1858,311,6625,5295,166,7927,40.150000000000006,59.330000000000005
5777,890,6239,5600,6620,7411,6586,5994,5885,1378,51.129999999999995,48.54
8421,2998,3623,1153,4083,7876,3468,680,3640,2567,59.0,40.82
1925,9092,6386,4244,1221,8154,6780,8132,6659,5603,43.54,56.24
2981,9048,2931,7777,6303,9634,6683,3011,2066,471,55.54,44.34
4338,9435,7285,4346,8288,9446,2930,5639,3784,7513,60.56,39.06
2303,6515,2627,1201,7519,1016,508,5052,5465,9010,68.36,31.22
5694,9404,1853,554,8145,6771,9588,3901,4880,5054,47.94,51.82
2831,2929,7139,7504,2083,3785,924,8054,9224,5743,41.31,58.48
4107,2188,5707,3885,7365,5536,2670,2701,3673,5676,53.21,46.58
5372,3335,1526,5573,7809,5470,5155,3371,9650,5634,46.910000000000004,52.839999999999996
2950,7243,2627,3648,7660,571,6138,7716,8459,9739,57.08,42.74
6517,7639,1526,3098,872,5396,7665,2049,3437,6414,54.83,44.330000000000005
6123,3302,7059,4353,3683,6160,7734,4142,2147,6300,67.83,31.97
4275,3918,777,4648,5425,5754,4050,3073,853,778,49.69,49.94
5980,981,2823,4996,8147,9825,7375,8827,3086,2419,59.489999999999995,39.86
5062,8672,3541,473,5504,7771,3433,7716,8124,2268,53.2,46.25
4583,353,5038,7919,2330,8887,3278,2156,3273,9479,54.52,45.32
8225,6081,7273,5980,8446,3366,1324,3843,4947,3651,60.589999999999996,39.18
