Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
6317,6472,1272,3876,8161,2878,2818,4788,3651,9706,68.60000000000001,31.22
7230,9141,1760,3105,2132,3814,6934,6443,7712,658,46.46,53.39
7119,1098,5842,8334,8156,3657,1922,5823,2974,9261,58.309999999999995,41.47
6231,5314,7369,539,2868,3531,4071,7323,6824,5491,48.089999999999996,51.54
6127,5256,8238,871,2363,3531,2162,9821,5859,9963,47.23,52.61
7947,1481,2755,7376,8156,2382,2444,7312,9712,4398,52.349999999999994,47.18
2453,5535,6982,7234,5256,5007,4850,300,1874,3022,54.559999999999995,45.300000000000004
6218,7822,5712,1875,8074,7993,2317,6737,2974,1210,50.260000000000005,49.43
6914,6265,3837,6677,6831,1011,2131,4351,2974,9440,54.82,45.04
7076,1875,2351,2989,1526,7381,6363,2609,1374,7916,45.95,53.769999999999996
8014,1481,2755,7376,8156,2382,2444,7312,7872,5586,58.79,41.08
7273,9527,8676,3914,1840,231,8657,7023,1445,3476,39.86,59.98
2456,5535,6982,7234,5256,5007,4850,300,1874,3022,53.98,45.86
2530,3340,8026,714,7178,4445,7138,8140,1523,7039,55.620000000000005,43.84
7238,9141,1760,3105,2132,3814,6934,6443,7712,658,47.36,52.49
7947,1481,2755,7376,8156,2382,2444,7312,9712,4398,52.349999999999994,47.18
8148,7228,2379,6766,7498,255,2632,5004,8530,2741,55.120000000000005,44.62
8659,7974,5219,1024,7178,2056,3132,3301,1482,7566,62.739999999999995,36.870000000000005
4031,3090,2848,8450,6161,3984,7841,5790,4986,1160,60.28,39.43
8730,6550,7273,4602,1840,3160,3778,8526,7760,2919,51.03,48.46
8730,6550,7273,4602,1840,3160,3778,8526,7760,2919,51.03,48.46
8659,7974,5219,1024,7178,2056,3132,3301,1482,7566,62.739999999999995,36.870000000000005
8147,7228,2379,6766,98,5929,6173,664,8627,8548,39.64,60.209999999999994
8659,7974,5219,1024,7178,2056,3132,3301,1482,7566,62.739999999999995,36.870000000000005
1065,6970,2182,1881,651,771,8477,6879,6733,1573,74.35000000000001,25.4
6585,9874,6666,5891,2325,231,1658,6731,7760,2962,45.22,54.58
3036,618,4413,4648,4168,3769,6743,7852,8466,9979,53.580000000000005,46.03
8148,7228,2379,6766,8777,255,2632,5004,4882,6029,59.29,40.550000000000004
7347,9527,8676,3914,1840,231,8657,7023,1445,3476,41.199999999999996,58.36
8015,1481,2755,7376,8156,2382,2444,7312,7872,5586,58.919999999999995,40.9
4634,5978,7574,6723,8825,8895,3132,2545,2293,783,52.239999999999995,47.52
1711,5015,2636,6213,8046,7219,6784,224,2901,2658,51.559999999999995,47.74
8986,7658,5219,1019,7178,2056,3132,3301,1482,7566,56.599999999999994,43.13
2975,2296,6484,7844,4168,969,7537,6685,8122,9979,53.620000000000005,46.089999999999996
7541,6170,3837,6187,7517,255,2520,4351,2974,2881,55.03,44.74
2456,5535,6982,7234,5256,5007,4850,300,1874,3022,53.98,45.86
4161,2765,1422,835,6321,2351,7583,8796,7151,3123,60.86,38.91
6325,6472,1272,3876,8161,2878,2818,4788,1152,7781,67.5,32.29
8659,7974,5219,1024,7178,2056,3132,3301,1482,7566,62.739999999999995,36.870000000000005
2880,7899,2434,1881,7519,8812,8870,1755,3077,5570,57.86,41.79
3517,4134,7368,9080,8825,8792,9634,1960,8182,5903,48.69,51.12
4369,6866,7860,9254,2060,2479,2847,2609,7418,8899,52.25,47.36
8148,7228,2379,6766,9946,5555,6674,9827,6239,4233,47.83,51.94
8730,6550,7273,4602,1840,3160,3778,8526,7760,2919,51.03,48.46
4031,3090,2848,8450,6161,3984,7841,5790,4986,1160,60.28,39.43
1845,8092,2086,1881,8045,713,7461,6145,8479,4899,49.309999999999995,50.19
7435,5003,2845,7141,7386,3756,766,6696,2574,8881,55.04,44.49
4634,5978,7574,6723,8825,8895,3132,2545,2293,783,52.239999999999995,47.52
4329,3518,9730,6546,6567,8796,7478,4767,1882,3037,49.27,50.129999999999995
6359,2783,1544,5670,6337,4700,1666,3209,1482,2429,53.2,46.52
8730,6550,7273,4602,1840,3160,3778,8526,7760,2919,51.03,48.46
3036,618,4413,4648,4168,3769,6743,7852,8466,9979,53.580000000000005,46.03
1711,5015,2636,6213,8046,7219,6784,224,2901,2658,51.559999999999995,47.74
7575,6170,3513,5811,2582,8388,7965,1547,8627,3343,52.1,47.620000000000005
7046,7237,6121,9023,2756,1415,5282,864,2379,7056,52.56999999999999,46.589999999999996
6218,7822,5712,1875,8074,7993,2317,6737,2974,1210,50.260000000000005,49.43
5354,7374,8026,2319,9355,5440,3724,5131,2574,6845,56.99999999999999,42.480000000000004
7541,6170,3837,6187,7517,255,2520,4351,2974,2881,55.03,44.74
