Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
6975,124,4054,3693,9238,1873,7166,6303,3242,3743,49.28,50.51
5980,9470,9127,4569,8580,6861,3023,2087,275,7055,65.18,34.58
2575,5723,6781,946,7336,1658,5776,8590,2453,3185,48.89,50.89
3568,7629,4533,7265,7178,5424,7824,3860,7941,1686,57.769999999999996,41.43
8869,9032,1818,2751,872,6127,3773,940,5225,2153,63.7,36.15
6980,8160,7424,7893,2368,8451,7934,5764,5822,6069,72.16,27.61
2149,6521,4533,4384,6381,5365,4214,7300,7928,3342,62.86000000000001,36.88
7938,4297,6323,6364,3960,880,5020,8391,3842,83,60.940000000000005,38.89
6368,8878,6065,8363,8084,1601,8804,2654,2219,2590,51.870000000000005,47.77
7260,887,2409,8678,5214,4209,4071,2296,4318,1073,67.5,32.17
7061,713,2840,5717,2478,715,7446,1610,5123,4026,72.17,27.37
7061,682,2640,6367,6735,5382,3317,1919,4318,8990,53.959999999999994,45.769999999999996
3675,6644,6436,6404,1590,6166,5091,4804,9224,4237,43.120000000000005,56.42
4671,9186,7613,4028,8580,9150,4653,350,4947,3594,43.09,56.43
7061,8185,7424,2462,1844,4035,8915,1150,1973,8342,51.72,48.08
2575,8488,5410,8230,7777,1293,5841,3925,2549,4508,56.410000000000004,43.32
5469,2173,5744,3476,478,3872,7418,7561,2526,8497,62.419999999999995,37.419999999999995
6962,4376,6323,5750,2543,1986,5020,8715,7810,7390,52.910000000000004,46.589999999999996
7235,4565,2340,6047,7032,5087,1666,9289,8124,379,55.86,43.56
6123,744,9367,3865,4627,6876,5121,1833,5924,43,42.699999999999996,57.14
8225,1166,3441,5426,6735,6022,1540,1237,2483,1164,68.24,31.25
6962,7866,7424,6971,5767,5920,4653,6545,2437,8544,62.03999999999999,37.71
8354,962,2240,6370,6735,1763,4539,7714,7826,2970,49.7,50.12
2236,4011,6927,1103,2625,6451,6594,9011,2459,6484,51.5,48.1
6562,2290,6669,2462,1220,6237,4485,5908,7843,449,53.13,46.69
7091,6927,8022,9647,8446,385,3957,2196,3651,8484,59.519999999999996,40.06
7682,7829,6713,7445,2368,2423,5328,1755,5926,9819,54.42,45.45
7865,3744,6238,4466,6292,9198,6241,4485,661,6980,54.56999999999999,45.25
3120,3773,1959,5579,5845,3870,7824,1202,7683,8678,64.84,35.02
2538,8778,4163,486,8426,479,1766,1594,7683,9885,80.41,19.25
3568,7633,4533,2146,7247,430,3751,2115,7683,6678,51.85999999999999,47.89
7061,519,2640,6505,713,5032,6114,3761,5225,1509,52.65,46.79
6975,888,2409,6594,2478,7713,905,4843,8974,9945,48.99,50.77
9256,9639,1818,2021,5681,5526,2874,5623,3667,5911,60.01,39.879999999999995
7169,9269,6746,7363,2368,5938,7313,2801,4421,8137,64.46,34.9
7864,4864,3432,1375,4481,9732,7522,8643,8122,4654,65.91,33.7
6368,8633,6065,3815,8446,6762,1844,8619,4583,8278,51.35999999999999,48.44
7235,1071,2409,2624,6920,8088,3317,7869,2675,2174,52.059999999999995,47.49
9152,2830,5530,1923,3484,9087,2744,4771,6231,5353,58.35,41.199999999999996
5522,5426,4423,4890,7817,8155,7478,9265,3162,4999,69.63000000000001,30.240000000000002
2148,2577,5395,2303,6443,6626,9027,6928,5470,7468,47.12,52.629999999999995
3345,9725,5410,7605,7374,4627,8259,1628,2447,4583,48.28,51.54
6754,822,2823,4221,7019,9600,161,6432,4389,4043,66.29,33.489999999999995
7864,2580,8751,3450,5102,9164,1716,1576,5909,6400,51.04,48.82
2119,6645,5278,9938,1590,1790,6137,198,2147,3738,63.53,36.03
7058,9955,6083,9196,5190,5967,7934,2897,2447,1051,62.5,37.230000000000004
4338,1614,336,5441,5425,6699,7756,7074,1132,3044,44.29,55.32
7061,8492,1913,2266,3743,6019,8107,431,9661,6526,47.58,52.27
