Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P24641,4595,6659,4498,3451,1670,1655,1620,2983,3499,68.27,31.269999999999996
4347,4595,6477,4498,2482,1670,1853,1620,3320,3499,78.85,20.919999999999998
5943,4595,1965,4498,7578,1670,2283,1620,2826,3499,77.88000000000001,21.7
2956,4595,6376,4498,2286,1670,1658,1620,3220,3499,79.4,19.63
4541,4595,7480,4498,1481,1670,1541,1620,3213,3499,75.77000000000001,23.87
4748,4595,2279,4498,7481,1670,937,1620,3921,3499,76.38000000000001,23.43
6846,4595,1957,4498,7381,1670,2685,1620,3019,3499,78.24,21.46
3752,4595,7676,4498,2484,1670,1553,1620,3119,3499,78.0,21.81
2462,4595,6474,4498,2483,1670,852,1620,2723,3499,80.97,18.67
4650,4595,1973,4498,7782,548,1523,195,4579,3499,84.92,14.719999999999999
4239,4595,7879,4498,2180,1670,1142,1620,2620,3499,77.25,22.31
2960,4595,8372,4498,4182,1670,642,1620,3721,3499,74.72999999999999,25.1
2660,4595,7568,4498,3387,1670,858,1620,3026,3499,75.99000000000001,23.36
3457,4595,7972,4498,2782,1670,1256,1620,3617,3499,76.2,23.62
4554,2725,5421,8450,7384,5594,1152,5988,2982,9261,60.36,39.45
4834,4595,7881,4498,1879,1670,5082,1620,1547,3499,76.35,23.43
1958,4595,7669,4498,6287,1670,2688,1620,2732,3499,77.82,22.03
2859,4595,7574,4498,2291,1670,673,1620,1014,3499,65.9,33.64
3380,4595,8283,4498,6079,1670,2754,1620,2824,3499,75.31,24.45
3263,4595,7880,4498,3785,1670,1557,1620,3422,3499,76.01,23.75
1479,4595,8173,4498,4559,1670,1756,1620,3622,3499,76.21,23.21
1486,4595,5683,4498,3739,1670,1045,1620,2923,3499,79.07,20.76
1781,4595,6279,4498,4175,1670,2843,1620,3616,3499,78.53,21.23
7089,4595,4563,4498,2369,1670,1240,1620,3530,3499,74.77000000000001,24.87
3356,1648,3622,4898,8285,7247,7834,1185,2983,7956,62.62,37.12
2365,4595,7076,4498,3882,1670,753,1620,2930,3499,76.32,23.52
4376,4595,7883,4498,1892,1670,861,1620,2530,3499,78.28,21.6
1051,4595,8951,4498,4478,1670,1989,1620,3923,3499,74.8,24.85
4763,4595,8893,4498,2787,1670,2050,1620,3317,3499,76.98,22.770000000000003
1626,4595,1878,4498,5557,1670,7791,1620,5011,3499,74.92,24.12
1568,4595,8449,4498,7392,4211,4128,1620,7008,3499,70.41,29.459999999999997
2557,4595,7668,4498,3483,1670,1070,1620,2917,3499,79.3,19.98
2379,4595,9256,4498,6075,1670,1927,1620,4209,3499,76.02,23.78
7855,4595,3161,4498,2690,1670,858,1620,2926,3499,74.61,25.009999999999998
370,2455,5661,6669,3334,2835,7285,5677,1642,9087,58.24,41.05
3658,4750,6566,3581,3831,1639,1525,8368,1778,9087,54.7,45.07
3460,4750,7064,3581,3628,1639,1625,8368,2377,9087,56.31,43.22
2767,4750,5859,3581,3334,1639,1125,8368,8845,9087,59.36,40.35
2764,4750,7077,3581,3331,1639,7137,5677,3890,9087,62.09,37.03
1014,3258,5952,6854,7768,2835,1878,5677,2244,9087,47.21,52.56999999999999
4445,5147,5764,4472,3064,1644,2435,7964,6028,8388,58.199999999999996,41.32
4645,5147,5165,4472,2766,1644,8133,7964,2325,8388,60.099999999999994,39.32
4860,5147,3243,4472,7635,6843,7279,7238,3071,1637,62.72,36.93
6551,5147,3749,4472,3377,1644,2540,7964,7374,8388,55.120000000000005,44.47
5441,5147,3249,4472,6663,1644,2384,7964,7781,8388,53.39,46.46
3447,5147,5258,4472,6727,2234,3571,5677,6577,9087,57.95,41.78
