Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
969,2423,9323,9043,2083,1634,4884,649,5535,768,60.47,39.42
2306,2372,5597,9514,4878,5276,1072,8647,4272,7548,49.559999999999995,50.0
6857,6365,6121,9480,8831,8772,3394,1823,9567,6081,52.980000000000004,46.910000000000004
1778,7602,6688,2559,7519,5870,9190,233,5029,8787,52.080000000000005,47.65
3345,7057,6436,4542,4563,6995,1651,9612,8627,4628,51.62,48.14
2236,9312,9901,1842,2339,716,3930,8481,3403,3409,25.169999999999998,74.03999999999999
5146,7898,6152,6187,4645,375,2916,4928,4879,8222,48.08,51.71
6139,4588,1776,4174,7032,889,204,1567,755,2932,51.0,48.78
6226,2492,627,4871,6806,3037,1429,7723,9452,6736,40.71,58.86
8940,2461,587,4032,6329,9061,542,538,6136,8493,40.589999999999996,58.809999999999995
6290,3305,1305,8705,7952,4404,4050,6072,9232,6231,66.01,33.48
6463,8953,4765,6902,8589,345,1471,6321,5466,7993,42.04,57.74
4726,8652,7613,9754,2536,6081,6963,958,5397,6681,59.13,40.71
2191,6888,4928,5128,1362,273,1047,5629,8828,122,52.82,46.28
9091,4634,3640,1316,8708,5110,8473,9867,1270,983,54.36,45.33
1912,7072,108,8480,2095,8930,9327,9417,5699,3448,36.199999999999996,63.690000000000005
7811,8748,4609,8248,2048,9669,8678,9192,5446,8,75.78,23.96
5261,9295,5960,5317,40,8653,8088,6831,6659,3284,40.37,59.440000000000005
5729,1946,5127,3353,8170,2029,535,9430,8657,2659,48.29,51.44
9395,5790,6373,6921,4284,548,3321,2992,1037,20,49.830000000000005,49.55
9891,3159,6976,7767,8949,5212,5735,1901,4722,8879,41.18,58.39
2306,1008,5464,2670,4151,4679,9306,411,1649,4722,54.25,45.53
3496,6699,8224,2107,189,1177,7173,9240,7715,3841,42.699999999999996,57.07
8333,529,4167,7637,5971,3882,4625,2982,4722,596,59.209999999999994,40.6
3849,196,8832,5433,8761,1835,687,5646,2204,7128,62.92,36.809999999999995
8015,5233,5160,5862,910,7339,6280,4774,8305,4538,44.66,55.05
1938,6256,5635,8573,9787,6762,6049,2245,5315,5293,50.44,49.34
4377,7761,1392,3343,8394,3829,6994,6246,5690,2996,28.89,70.93
5521,3272,8428,9271,6283,5919,6620,4673,7325,991,51.51,48.05
5597,9452,1399,9238,5732,6921,907,614,9105,8823,61.39,38.42
8606,5853,7283,2664,4052,5966,8393,5027,4979,1929,40.21,59.63
8118,5932,2979,2656,2815,530,1623,9703,3837,9857,52.64,47.14
8742,3514,4358,2271,2613,7229,3742,9386,484,2203,45.93,53.690000000000005
6454,2942,317,3980,4829,1041,1429,6559,755,9311,42.1,57.589999999999996
7676,3819,6238,4915,2928,3631,1540,2209,4373,4885,66.32000000000001,33.42
182,2378,8422,7651,7082,1151,8957,9158,4083,711,48.19,51.61
7754,6426,2949,3590,6697,7302,8944,3742,481,8642,49.47,50.4
8629,4263,9186,3209,953,252,9965,6878,5280,7567,51.13999999999999,48.59
572,442,2102,6964,5479,2513,6782,7988,5124,81,53.37,46.129999999999995
1979,3385,8026,9878,4878,6588,9348,1743,1350,805,56.19,43.63
1298,3380,144,9125,3995,5843,3560,6803,7445,8823,60.24,39.489999999999995
8756,5271,6213,147,7482,6983,3201,5122,1559,9748,55.15,44.3
8762,4411,3918,3193,1344,4587,2171,2055,8382,4122,53.349999999999994,46.26
2161,9277,9901,1926,2339,8404,4698,5865,9027,2980,37.84,62.01
515,8508,5134,7776,6845,4668,6181,8548,592,3563,51.53,48.28
2586,1817,9911,9444,9038,1196,5812,9837,5286,3172,50.870000000000005,48.51
7872,2853,1209,3539,4413,4243,6918,8580,3086,9141,56.599999999999994,43.28
5887,5359,8311,8908,579,3190,5029,4864,1839,9309,69.17999999999999,30.61
