Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
182,2578,1035,7048,1365,2777,5607,22,5823,3637,36.120000000000005,63.65
2831,3568,2254,9420,8045,1390,6049,8340,3086,8148,55.410000000000004,44.36
3279,9102,4534,7120,8892,5503,4436,6101,9650,7847,68.78999999999999,31.09
4464,8858,8726,2932,7630,3315,1766,4669,875,7391,43.14,56.68
2303,6197,6781,2741,1362,7692,8728,2332,8785,752,68.13,31.480000000000004
6588,7880,1526,7779,982,8460,5555,7422,5135,9488,65.60000000000001,34.260000000000005
858,5562,8713,6630,4878,6961,7179,2102,4389,3196,46.85,52.980000000000004
2842,6971,4533,1052,8913,7694,1746,5560,2593,1140,51.77,48.010000000000005
2313,5275,6781,6107,6381,3183,8692,2843,661,5311,41.88,57.97
4550,9495,2681,2331,705,3299,7455,5780,7036,3466,56.56,43.02
6776,3725,1305,7783,8451,1229,1845,5053,8165,7429,46.63,53.0
7061,8900,1913,7541,982,6356,6370,7580,5135,3255,51.15,48.41
8442,2619,4924,9201,7543,1008,2118,1912,1128,159,60.91,38.84
2236,3615,7643,6518,2083,1352,924,6678,6261,3195,46.839999999999996,52.93
3225,3755,8012,8006,1051,284,4733,9359,8883,4133,55.96,43.22
8653,886,4879,4220,4685,3994,2282,450,2691,2402,51.89,47.92
6867,7833,2758,557,9319,2168,4110,6603,4334,747,58.830000000000005,40.97
813,3850,8457,9440,7976,7125,4436,7435,2959,1576,55.55,43.79
6231,9683,4571,6328,5190,900,2545,1846,1538,833,48.11,51.470000000000006
3225,2196,4719,3093,9758,959,5035,4847,2675,8759,50.29,49.46
1522,341,6423,3591,5528,1584,5529,2209,2447,6752,39.78,60.08
2236,2502,8026,6733,5822,5964,4860,8550,9224,3544,50.78,49.08
8225,6457,8068,8048,1157,6125,1726,7058,7810,9295,59.870000000000005,39.67
8629,8687,1818,1012,9418,6555,4110,8221,4871,9936,60.160000000000004,39.51
2313,1087,9272,4771,6632,2608,509,8251,4576,358,55.67999999999999,44.07
6292,6964,1228,5520,9528,7321,8883,9117,1343,2336,52.690000000000005,46.97
6127,1694,437,3962,6259,6147,2669,3859,2691,2925,64.37,34.870000000000005
8421,2311,2347,552,7611,3995,4539,6476,956,4793,48.93,50.59
4550,3589,7280,8539,5421,5160,430,1801,3913,8228,52.470000000000006,47.349999999999994
4516,7487,1812,6025,3828,6810,8088,3228,2089,2541,43.3,56.16
5372,1673,2823,4042,6161,7843,1830,1688,9755,3011,43.63,56.19
2313,8571,6803,2314,7025,4156,1844,340,8591,2660,44.96,54.39000000000001
8127,6422,8756,5404,6358,1677,6144,5566,3842,7724,47.949999999999996,51.64
4271,2184,2558,8333,8227,142,6049,2952,8828,5426,46.489999999999995,53.09
2975,9040,5410,3403,6455,97,7847,8345,2454,3792,61.029999999999994,38.82
6932,6914,8022,6304,3797,108,1726,5644,5566,6217,76.3,23.49
6517,6486,6422,993,6358,5633,9190,1244,2446,5141,53.23,46.51
6292,7122,1228,3369,2438,978,8893,7594,7339,3394,54.58,45.24
3418,6654,6781,4836,8825,4240,8804,7448,1832,5123,65.08,34.58
6026,1219,9367,68,2625,3825,5816,9250,4576,676,59.8,39.33
3339,9856,5535,6873,8892,2879,8804,1868,2447,7753,55.13,44.71
4327,8221,8316,5136,8288,2723,8804,1681,1707,8380,30.080000000000002,69.59
8567,1981,3666,9985,7819,149,620,2183,6080,9088,75.42999999999999,24.38
7653,581,2840,4948,7051,3024,2669,4684,2974,4624,45.75,54.059999999999995
3415,3312,7368,2347,7336,1205,3143,2720,2180,6974,62.239999999999995,37.15
2119,5090,1212,4680,5425,1502,1429,1666,4334,1764,51.21,48.68
8636,2734,4924,2227,3484,940,4071,860,4170,8801,65.93,33.89
1119,5176,3745,3892,4490,8474,6645,5659,1533,1301,56.81,42.91
7058,9444,1913,1146,8145,7498,1779,4133,9078,8050,54.67999999999999,44.879999999999995
926,3475,6170,3189,6933,4645,7078,3830,3995,9634,51.81,47.97
8014,1204,6749,7119,6228,2527,1336,4147,1573,5611,68.25,31.119999999999997
2913,3386,2254,8451,8045,5081,7478,958,7455,5970,65.28,34.300000000000004
4271,6258,6783,7162,2032,1507,4726,8202,7826,4849,67.41,32.269999999999996
7255,8439,6713,7399,2978,8662,7934,8306,5446,2310,55.230000000000004,44.4
4327,8481,4680,2697,9045,537,6177,3048,5923,8606,49.44,50.239999999999995
7865,7675,5813,3402,4165,1174,1269,6527,9232,4065,45.56,54.120000000000005
53,250,6590,517,2573,6582,5121,5395,7855,9747,61.28,37.96
6292,364,6116,9581,9028,2682,2874,5769,2079,8167,56.34,43.39
7864,5028,3432,9537,2183,862,1022,7729,2187,6256,52.49,47.02
8215,3421,1947,1861,5746,8903,7672,4036,5470,5445,58.120000000000005,41.63
182,6750,4915,4487,7247,9716,3761,5645,5884,1613,59.86,39.95
6368,6084,2432,1119,2473,4711,5607,5547,5337,7726,50.470000000000006,48.99
6127,4834,8534,9468,8446,970,259,8211,5336,3072,34.18,65.64
8653,5028,2438,2312,409,202,7969,2240,3295,7112,54.32,45.17
5980,4779,5406,2144,7332,2826,2408,5795,2505,4418,49.88,49.93
4564,5637,5648,7391,1362,547,6618,1504,2668,2479,46.18,53.669999999999995
3220,2261,6431,1703,1779,5081,6332,6400,2668,5379,48.730000000000004,51.12
4883,8984,8726,140,2438,8741,8457,770,2459,8443,67.15,32.32
5672,9418,6511,9975,1121,1174,2902,2071,7826,2734,52.459999999999994,47.21
6953,4899,4224,3288,7032,3278,5155,2468,2675,2062,68.63,31.240000000000002
3237,4932,3517,1038,2431,9426,6332,8296,5470,480,50.760000000000005,48.63
8442,4379,7272,8796,2314,2637,4071,9466,2147,8833,54.1,45.73
2722,7820,8815,3373,9184,5690,1766,2398,8591,8225,52.88,46.97
1522,7021,3566,1771,8802,4008,6455,9256,678,4593,47.12,52.72
2160,8182,2664,8765,145,1917,6662,9073,7826,6821,53.44,46.410000000000004
5777,2260,809,1978,2084,6978,1864,1634,9755,4786,52.09,47.55
5280,7305,1877,720,8145,7860,3433,3158,6290,3339,51.23,48.42
3365,8192,7135,7523,1121,974,4726,7430,3364,5379,48.949999999999996,50.839999999999996
9256,2350,5835,7701,4320,2732,8737,4639,2808,3311,46.650000000000006,53.059999999999995
6981,2797,7211,3742,2346,530,268,9283,2026,5288,57.11000000000001,42.68
8653,326,924,7348,7019,5926,7894,1262,736,5237,51.55,48.16
3345,5322,7574,5215,2419,3807,3486,9149,7243,798,68.08999999999999,31.75
3345,8641,6710,7218,7860,4354,2406,3950,9650,7585,47.3,52.580000000000005
6368,3200,2516,4015,7809,8226,7375,3072,2675,6956,56.589999999999996,43.14
5115,8197,2376,1342,8145,9161,2235,6290,9078,6051,64.55,35.19
7324,519,7535,8351,1545,895,4783,536,3483,6006,55.82,43.769999999999996
2994,9846,8442,9465,1121,7526,8827,9388,6659,7342,67.92,31.86
1522,4630,6357,8016,5187,9313,8715,735,3156,3240,66.64,33.06
3345,9278,2931,8141,7063,9288,4178,8407,7928,4554,67.82000000000001,32.01
8222,2297,2347,7425,7019,3477,7894,175,2762,4146,59.440000000000005,40.339999999999996
6026,6569,1228,1979,8428,8779,9425,8964,6231,9870,50.86000000000001,49.04
2994,7399,6625,8750,7860,969,1832,7798,9110,9712,69.05,30.73
2778,5234,436,8656,7019,3180,2874,1695,6261,8733,52.01,47.77
4767,209,2873,7885,6620,7722,1088,8571,5375,2237,45.18,54.65
9223,8672,7263,103,8134,3428,3023,9868,1886,4577,54.690000000000005,45.07
7058,7134,1164,1872,8145,2584,3849,7791,4871,8682,53.94,45.85
8046,7127,1449,1488,9057,3189,3433,6069,4871,8145,52.480000000000004,47.12
7224,6956,3837,2001,2125,7783,5607,8898,8674,7889,64.68,35.03
6754,1385,7535,5008,4685,7292,8072,9960,2147,603,59.01,40.79
5372,2464,3237,8923,8227,989,6049,6958,1468,6045,58.879999999999995,40.400000000000006
7485,4223,8369,9003,8446,9967,2074,7607,6194,1957,47.67,52.15
6368,6011,3350,1940,2473,3082,6625,3758,5727,8876,44.940000000000005,54.690000000000005
2303,65,9596,6797,6632,4881,4505,7338,3610,1684,42.39,57.49999999999999
868,2665,6847,1274,1779,4427,6625,5825,4576,2593,59.519999999999996,39.67
