Move_1_P1,Move_2_P2,Move_3_P1,Move_4_P2,Move_5_P1,Move_6_P2,Move_7_P1,Move_8_P2,Move_9_P1,Move_10_P2,Area_P1,Area_P2
7183,5613,4224,2715,2125,5493,2685,577,4170,4093,58.01,41.75
6368,139,2640,4297,7019,2359,6157,5657,2668,7811,64.1,35.199999999999996
4074,8825,2430,3395,2674,8799,7824,2313,6231,9914,59.45,40.22
4583,6736,6783,3987,2221,5209,2685,9150,2749,4445,54.76,44.99
8869,1296,6254,524,212,9626,1540,5519,7947,4569,45.28,54.47
1871,7429,5134,4845,7178,7504,428,3339,8150,9693,62.660000000000004,36.97
4338,9455,8038,1405,4867,2269,1832,6857,8674,4927,53.5,46.22
7091,969,4054,7297,2254,138,7446,5766,2526,6756,66.10000000000001,33.43
7682,7475,3442,6724,8592,8819,6241,5534,3162,4306,56.64,43.07
8636,4435,2438,6168,1478,5522,6720,179,2570,9182,54.93,44.84
4671,3910,8238,8463,3628,1272,3321,7714,7418,5375,45.050000000000004,54.83
4883,319,6239,5162,929,170,9547,1543,2336,8164,56.379999999999995,43.36
5062,5546,3000,4282,7817,4259,4714,459,1468,1613,48.83,50.71
5469,415,6239,2609,1331,9319,927,8512,9224,8830,69.61,30.159999999999997
8854,1260,6254,3572,5871,1726,1845,1585,2737,1517,63.38,36.43
3180,6707,6031,9525,2032,2353,6137,4528,2919,3965,50.06,49.68
7485,2955,6238,2636,5871,2689,2916,8466,1973,7971,63.07000000000001,36.74
2236,6111,6982,9548,5824,302,8602,9924,1874,2525,67.81,32.0
6372,8636,2239,3125,2063,5460,6280,9846,8122,6114,55.60000000000001,44.21
7169,1309,6821,9477,5263,4879,8638,2507,2668,3218,61.08,38.76
7865,7414,6713,279,2928,1949,6280,6332,892,8410,61.62,38.2
7260,8318,7132,9904,5190,9761,2930,7005,3343,6719,74.33999999999999,25.5
7061,7451,1170,1574,5902,6454,9588,4910,5465,4864,40.75,58.75
3675,6894,4131,395,8131,9237,8190,7064,3113,8911,63.449999999999996,36.32
7865,1030,2755,4861,7019,1821,5695,6776,2668,8908,57.9,41.56
3279,1846,5395,8501,8345,5218,1674,5988,1874,5126,39.269999999999996,60.38
7783,4829,3432,4389,3669,742,6918,1090,5157,5888,63.39,36.47
3568,5554,6641,3098,9641,9560,2670,8019,4947,749,37.63,62.08
4671,3271,7280,2898,5156,1944,6917,9221,1973,9594,53.44,46.160000000000004
6214,4095,1305,9059,7714,2338,2413,14,2446,8955,47.19,52.68000000000001
6980,3921,6238,9367,841,379,3661,4489,2437,3441,54.87,44.879999999999995
4914,1768,2844,5670,8147,7756,4074,9469,2675,9617,57.67,42.08
7235,8805,1818,783,8428,9428,2874,9645,8674,921,71.02000000000001,28.43
6776,3599,1518,8662,7714,9429,4074,7334,7688,3870,50.480000000000004,49.05
3120,4590,7574,5955,1904,614,2874,8970,7354,6788,63.28,36.32
868,3985,5470,3297,3475,1692,4349,7081,3559,8382,68.57,31.16
6776,462,2409,8840,1505,7710,4877,1153,5566,2732,46.17,53.7
8869,2723,5835,3089,6292,1408,1845,8956,6722,6373,53.400000000000006,46.400000000000006
1522,4208,6357,5953,6316,7137,3486,4199,2147,9475,57.830000000000005,41.77
6127,7206,8072,2082,3462,8919,7749,3648,6877,5385,45.29,54.379999999999995
8567,9528,1818,6143,5130,3612,3169,429,6839,5806,65.89,33.739999999999995
2981,687,4782,3895,6884,4674,2949,9707,4328,2206,59.599999999999994,40.239999999999995
3469,9821,2931,5748,7057,1568,1840,1350,2079,911,59.75,39.81
8225,2732,4924,4311,3715,6673,4064,909,3713,4833,48.67,51.01
6776,2318,628,6484,8127,2478,4578,1819,2396,1134,56.3,43.6
6368,1041,1625,9855,2728,2491,5978,6402,7826,3217,52.78,46.89
7667,8077,1913,8526,6542,9135,6683,1241,3080,4985,55.92,43.81
7653,9709,4272,4790,2063,8131,2916,8955,3651,8791,59.48,40.29
7864,8573,6774,2290,3462,490,9815,2343,4170,6798,46.45,53.12
